binomial,family,invert,vert_end,vert_ect,vert_fish,vert_unk,scav,fruit,nect,seed,plant_other,diet_source,diet_certainty,forage,forage_certainty,forage_comment,nocturnal,crepuscular,diurnal,activity_source,activity_certainty,body_mass,body_mass_source,body_mass_species_level
Tachyglossus aculeatus,Tachyglossidae,100,0,0,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,1,0,Ref_1,ABC,3025,Ref_117,1
Zaglossus attenboroughi,Tachyglossidae,100,0,0,0,0,0,0,0,0,0,Ref_65,ABC,G,A,,1,0,0,Ref_1,ABC,8532.39,"Ref_2, Ref_3",0
Zaglossus bartoni,Tachyglossidae,100,0,0,0,0,0,0,0,0,0,Ref_2,D1,G,A,,1,0,0,Ref_1,ABC,7180,Ref_131,1
Zaglossus bruijni,Tachyglossidae,100,0,0,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,10139.5,Ref_117,1
Ornithorhynchus anatinus,Ornithorhynchidae,80,0,0,20,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,1,1,Ref_1,ABC,1484.25,Ref_117,1
Caluromys philander,Didelphidae,20,0,0,0,10,0,20,0,10,40,Ref_1,ABC,Ar,A,,1,1,0,Ref_1,ABC,229.25,Ref_117,1
Caluromys derbianus,Didelphidae,20,0,0,0,10,0,20,0,10,40,Ref_1,ABC,Ar,A,,1,1,0,Ref_1,ABC,297,Ref_117,1
Caluromys lanatus,Didelphidae,20,0,0,0,10,0,20,0,10,40,Ref_1,ABC,Ar,A,,1,1,0,Ref_1,ABC,325,Ref_117,1
Caluromysiops irrupta,Didelphidae,20,0,0,0,0,0,20,40,0,20,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,250,Ref_117,1
Glironia venusta,Didelphidae,40,0,0,0,20,0,20,0,20,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,114,Ref_117,1
Chironectes minimus,Didelphidae,50,0,0,30,0,0,0,0,0,20,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,946,Ref_117,1
Didelphis aurita,Didelphidae,20,0,0,0,30,30,0,0,0,20,Ref_1,ABC,S,A,,1,0,0,Ref_1,ABC,1163.99,Ref_117,1
Didelphis imperfecta,Didelphidae,50,0,0,0,0,0,50,0,0,0,Ref_1,ABC,S,A,,1,0,0,Ref_1,ABC,1260.04,"Ref_2, Ref_3",0
Didelphis marsupialis,Didelphidae,20,0,0,0,30,30,0,0,0,20,Ref_1,ABC,S,A,,1,0,0,Ref_1,ABC,1091.16,Ref_117,1
Didelphis pernigra,Didelphidae,20,0,0,0,30,30,0,0,0,20,Ref_2,D1,S,A,,1,0,0,Ref_1,ABC,1260.04,"Ref_2, Ref_3",0
Didelphis virginiana,Didelphidae,20,0,0,0,30,30,0,0,0,20,Ref_1,ABC,S,A,,1,0,0,Ref_1,ABC,2195.48,Ref_117,1
Didelphis albiventris,Didelphidae,20,0,0,0,30,30,0,0,0,20,Ref_1,ABC,S,A,,1,0,0,Ref_1,ABC,904,Ref_117,1
Gracilinanus formosus,Didelphidae,50,0,0,0,0,0,30,20,0,0,Ref_2,D1,S,A,,1,1,0,Ref_2,D1,18.9,"Ref_2, Ref_3",0
Gracilinanus emiliae,Didelphidae,50,0,0,0,0,0,30,20,0,0,Ref_1,ABC,S,A,,1,1,0,Ref_1,ABC,7.6,Ref_117,1
Gracilinanus microtarsus,Didelphidae,50,0,0,0,0,0,30,20,0,0,Ref_1,ABC,S,A,,1,1,0,Ref_1,ABC,31,Ref_117,1
Gracilinanus marica,Didelphidae,50,0,0,0,0,0,30,20,0,0,Ref_1,ABC,S,A,,1,1,0,Ref_1,ABC,23.8,Ref_117,1
Gracilinanus dryas,Didelphidae,50,0,0,0,0,0,30,20,0,0,Ref_1,ABC,S,A,,1,1,0,Ref_1,ABC,18,Ref_117,1
Gracilinanus aceramarcae,Didelphidae,50,0,0,0,0,0,30,20,0,0,Ref_1,ABC,S,A,,1,1,0,Ref_1,ABC,20.5,Ref_117,1
Gracilinanus agricolai,Didelphidae,50,0,0,0,0,0,30,20,0,0,Ref_2,D1,S,A,,1,1,0,Ref_2,D1,18.9,"Ref_2, Ref_3",0
Gracilinanus agilis,Didelphidae,50,0,0,0,0,0,30,20,0,0,Ref_1,ABC,S,A,,1,1,0,Ref_1,ABC,22,Ref_117,1
Gracilinanus ignitus,Didelphidae,50,0,0,0,0,0,30,20,0,0,Ref_2,D1,S,A,,1,1,0,Ref_2,D1,18.9,"Ref_2, Ref_3",0
Hyladelphys kalinowskii,Didelphidae,60,10,0,0,0,10,20,0,0,0,Ref_3,D2,Ar,A,,1,0,0,Ref_3,D2,16.75,Ref_155,1
Lestodelphys halli,Didelphidae,0,100,0,0,0,0,0,0,0,0,Ref_1,ABC,S,A,,1,0,0,Ref_1,ABC,76,Ref_117,1
Lutreolina crassicaudata,Didelphidae,20,40,20,20,0,0,0,0,0,0,Ref_1,ABC,S,A,,1,0,0,Ref_1,ABC,537.3,Ref_117,1
Marmosa murina,Didelphidae,40,10,10,0,10,0,30,0,0,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,26,Ref_117,1
Marmosa xerophila,Didelphidae,40,10,10,0,10,0,30,0,0,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,46.2,Ref_117,1
Marmosa tyleriana,Didelphidae,40,10,10,0,10,0,30,0,0,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,32.4,Ref_117,1
Marmosa rubra,Didelphidae,40,10,10,0,10,0,30,0,0,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,63,Ref_117,1
Marmosa quichua,Didelphidae,40,10,10,0,10,0,30,0,0,0,Ref_2,D1,Ar,A,,1,0,0,Ref_2,D1,38.23,"Ref_2, Ref_3",0
Marmosa mexicana,Didelphidae,40,10,10,0,10,0,30,0,0,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,49.45,Ref_117,1
Marmosa lepida,Didelphidae,40,10,10,0,10,0,30,0,0,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,14,Ref_117,1
Marmosa andersoni,Didelphidae,40,10,10,0,10,0,30,0,0,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,47.4,Ref_117,1
Marmosa robinsoni,Didelphidae,40,10,10,0,10,0,30,0,0,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,56.67,Ref_117,1
Marmosops handleyi,Didelphidae,50,0,0,0,0,0,50,0,0,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,30.7,Ref_117,1
Marmosops juninensis,Didelphidae,50,0,0,0,0,0,50,0,0,0,Ref_2,D1,Ar,A,,1,0,0,Ref_2,D1,31.57,"Ref_2, Ref_3",0
Marmosops pinheiroi,Didelphidae,50,0,0,0,0,0,50,0,0,0,Ref_23,ABC,Ar,A,,1,0,0,Ref_2,D1,31.57,"Ref_2, Ref_3",0
Marmosops paulensis,Didelphidae,50,0,0,0,0,0,50,0,0,0,Ref_2,D1,Ar,A,,1,0,0,Ref_2,D1,38.89,Ref_58,1
Marmosops parvidens,Didelphidae,50,0,0,0,0,0,50,0,0,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,15,Ref_117,1
Marmosops noctivagus,Didelphidae,50,0,0,0,0,0,50,0,0,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,21,Ref_117,1
Marmosops neblina,Didelphidae,50,0,0,0,0,0,50,0,0,0,Ref_2,D1,Ar,A,,1,0,0,Ref_2,D1,31.57,"Ref_2, Ref_3",0
Marmosops bishopi,Didelphidae,50,0,0,0,0,0,50,0,0,0,Ref_2,D1,Ar,A,,1,0,0,Ref_2,D1,19.5,Ref_132,1
Marmosops impavidus,Didelphidae,50,0,0,0,0,0,50,0,0,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,40.5,Ref_117,1
Marmosops incanus,Didelphidae,50,0,0,0,0,0,50,0,0,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,62.3,Ref_117,1
Marmosops fuscatus,Didelphidae,50,0,0,0,0,0,50,0,0,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,60,Ref_117,1
Marmosops dorothea,Didelphidae,50,0,0,0,0,0,50,0,0,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,37.5,Ref_117,1
Marmosops cracens,Didelphidae,50,0,0,0,0,0,50,0,0,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,25.5,Ref_117,1
Marmosops invictus,Didelphidae,50,0,0,0,0,0,50,0,0,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,29.2,Ref_117,1
Metachirus nudicaudatus,Didelphidae,30,20,20,0,10,0,20,0,0,0,Ref_1,ABC,S,A,,1,0,0,Ref_1,ABC,375,Ref_117,1
Micoureus demerarae,Didelphidae,90,0,0,0,0,0,10,0,0,0,Ref_1,ABC,S,A,,1,0,0,Ref_1,ABC,75.75,Ref_117,1
Micoureus regina,Didelphidae,90,0,0,0,0,0,10,0,0,0,Ref_1,ABC,S,A,,1,0,0,Ref_1,ABC,118.6,Ref_117,1
Micoureus paraguayanus,Didelphidae,30,0,0,0,30,0,20,20,0,0,Ref_21,ABC,S,A,,1,0,0,Ref_1,ABC,112.43,Ref_58,1
Micoureus constantiae,Didelphidae,90,0,0,0,0,0,10,0,0,0,Ref_1,ABC,S,A,,1,0,0,Ref_1,ABC,90,Ref_117,1
Micoureus alstoni,Didelphidae,90,0,0,0,0,0,10,0,0,0,Ref_1,ABC,S,A,,1,0,0,Ref_1,ABC,132.3,Ref_117,1
Micoureus phaeus,Didelphidae,90,0,0,0,0,0,10,0,0,0,Ref_2,D1,S,A,,1,0,0,Ref_1,ABC,103.76,"Ref_2, Ref_3",0
Monodelphis emiliae,Didelphidae,20,20,0,0,0,20,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,40,Ref_117,1
Monodelphis osgoodi,Didelphidae,20,20,0,0,0,20,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,112,Ref_117,1
Monodelphis umbristriata,Didelphidae,20,20,0,0,0,20,20,0,20,0,Ref_2,D1,G,A,,1,0,0,Ref_2,D1,61.54,"Ref_2, Ref_3",0
Monodelphis theresa,Didelphidae,20,20,0,0,0,20,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,112,Ref_117,1
Monodelphis sorex,Didelphidae,20,20,0,0,0,20,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,48,Ref_117,1
Monodelphis scalops,Didelphidae,20,20,0,0,0,20,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,741,Ref_117,1
Monodelphis rubida,Didelphidae,20,20,0,0,0,20,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,45.5,Ref_117,1
Monodelphis palliolata,Didelphidae,20,20,0,0,0,20,20,0,20,0,Ref_2,D1,G,A,,1,0,0,Ref_2,D1,61.54,"Ref_2, Ref_3",0
Monodelphis unistriata,Didelphidae,20,20,0,0,0,20,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,55.3,Ref_117,1
Monodelphis kunsi,Didelphidae,20,20,0,0,0,20,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,11.3,Ref_117,1
Monodelphis glirina,Didelphidae,20,20,0,0,0,20,20,0,20,0,Ref_2,D1,G,A,,1,0,0,Ref_2,D1,61.54,"Ref_2, Ref_3",0
Monodelphis domestica,Didelphidae,20,20,0,0,0,20,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,71.4,Ref_117,1
Monodelphis dimidiata,Didelphidae,20,20,0,0,0,20,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,58,Ref_117,1
Monodelphis brevicaudata,Didelphidae,20,20,0,0,0,20,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,69.63,Ref_117,1
Monodelphis americana,Didelphidae,20,20,0,0,0,20,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,19.5,Ref_117,1
Monodelphis adusta,Didelphidae,20,20,0,0,0,20,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,35,Ref_117,1
Monodelphis maraxina,Didelphidae,20,20,0,0,0,20,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,61.57,Ref_178,2
Monodelphis iheringi,Didelphidae,20,20,0,0,0,20,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,112,Ref_117,1
Philander andersoni,Didelphidae,30,30,20,0,10,0,10,0,0,0,Ref_1,ABC,S,A,,1,1,1,Ref_1,ABC,325,Ref_117,1
Philander opossum,Didelphidae,30,30,20,0,10,0,10,0,0,0,Ref_1,ABC,S,A,,1,1,1,Ref_1,ABC,585.5,Ref_117,1
Philander mcilhennyi,Didelphidae,30,30,20,0,10,0,10,0,0,0,Ref_2,D1,S,A,,1,1,1,Ref_1,ABC,325,Ref_134,1
Philander frenatus,Didelphidae,30,30,20,0,10,0,10,0,0,0,Ref_2,D1,S,A,,1,1,1,Ref_2,D1,395.45,"Ref_2, Ref_3",0
Thylamys pusillus,Didelphidae,80,0,0,0,10,0,10,0,0,0,Ref_1,ABC,S,A,,1,0,0,Ref_1,ABC,28.21,Ref_58,1
Thylamys venustus,Didelphidae,80,0,0,0,20,0,0,0,0,0,Ref_54,ABC,S,A,,1,0,0,Ref_1,ABC,24.41,"Ref_2, Ref_3",0
Thylamys tatei,Didelphidae,80,0,0,0,20,0,0,0,0,0,Ref_54,ABC,S,A,,1,0,0,Ref_1,ABC,24.41,"Ref_2, Ref_3",0
Thylamys sponsorius,Didelphidae,80,0,0,0,20,0,0,0,0,0,Ref_1,ABC,S,A,,1,0,0,Ref_1,ABC,24.41,"Ref_2, Ref_3",0
Thylamys velutinus,Didelphidae,80,0,0,0,10,0,10,0,0,0,Ref_1,ABC,S,A,,1,0,0,Ref_1,ABC,20.7,Ref_117,1
Thylamys macrurus,Didelphidae,80,0,0,0,10,0,10,0,0,0,Ref_1,ABC,S,A,,1,0,0,Ref_1,ABC,34.43,Ref_58,1
Thylamys karimii,Didelphidae,80,0,0,0,20,0,0,0,0,0,Ref_1,ABC,S,A,,1,0,0,Ref_1,ABC,24.41,"Ref_2, Ref_3",0
Thylamys cinderella,Didelphidae,80,0,0,0,20,0,0,0,0,0,Ref_1,ABC,S,A,,1,0,0,Ref_1,ABC,24.41,"Ref_2, Ref_3",0
Thylamys elegans,Didelphidae,80,0,0,0,10,0,10,0,0,0,Ref_1,ABC,S,A,,1,1,0,Ref_1,ABC,28.9,Ref_117,1
Thylamys pallidior,Didelphidae,80,0,0,0,10,0,10,0,0,0,Ref_1,ABC,S,A,,1,0,0,Ref_1,ABC,14.9,Ref_117,1
Tlacuatzin canescens,Didelphidae,40,10,10,0,10,0,30,0,0,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,47.73,Ref_58,1
Caenolestes caniventer,Caenolestidae,70,0,0,0,10,0,10,0,0,10,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,40,Ref_117,1
Caenolestes condorensis,Caenolestidae,70,0,0,0,10,0,10,0,0,10,Ref_2,D1,G,A,,1,0,0,Ref_1,ABC,47.81,Ref_58,1
Caenolestes convelatus,Caenolestidae,70,0,0,0,10,0,10,0,0,10,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,40,Ref_117,1
Caenolestes fuliginosus,Caenolestidae,70,0,0,0,10,0,10,0,0,10,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,27.8,Ref_117,1
Lestoros inca,Caenolestidae,70,0,0,0,10,0,10,0,0,10,Ref_1,ABC,G,A,,1,1,1,Ref_1,ABC,21.1,Ref_117,1
Rhyncholestes raphanurus,Caenolestidae,80,0,0,0,0,0,0,0,0,20,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,21,Ref_117,1
Dromiciops gliroides,Microbiotheriidae,100,0,0,0,0,0,0,0,0,0,Ref_1,ABC,S,A,,1,0,0,Ref_1,ABC,22.3,Ref_117,1
Notoryctes caurinus,Notoryctidae,90,0,0,0,0,0,0,0,10,0,Ref_1,ABC,G,A,,1,1,1,Ref_1,ABC,34,Ref_117,1
Notoryctes typhlops,Notoryctidae,90,0,0,0,0,0,0,0,10,0,Ref_1,ABC,G,A,,1,1,1,Ref_1,ABC,55,Ref_117,1
Myrmecobius fasciatus,Myrmecobiidae,100,0,0,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,0,0,1,Ref_1,ABC,471.5,Ref_117,1
Dasycercus cristicauda,Dasyuridae,30,70,0,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,1,1,Ref_1,ABC,100,Ref_117,1
Dasykaluta rosamondae,Dasyuridae,60,0,0,0,40,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,28.75,Ref_117,1
Dasyuroides byrnei,Dasyuridae,30,70,0,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,109.47,Ref_58,1
Dasyurus spartacus,Dasyuridae,80,20,0,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,885.67,Ref_58,1
Dasyurus albopunctatus,Dasyuridae,80,20,0,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,637,Ref_117,1
Dasyurus viverrinus,Dasyuridae,70,20,0,0,0,10,0,0,0,0,Ref_1,ABC,G,A,,1,1,1,Ref_1,ABC,1090,Ref_117,1
Dasyurus geoffroii,Dasyuridae,60,20,10,0,0,10,0,0,0,0,Ref_52,ABC,G,A,,1,0,0,Ref_1,ABC,1100,Ref_117,1
Dasyurus maculatus,Dasyuridae,30,60,10,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,5500,Ref_117,1
Dasyurus hallucatus,Dasyuridae,40,30,20,0,0,0,10,0,0,0,Ref_1,ABC,G,A,,1,1,1,Ref_1,ABC,525,Ref_117,1
Myoictis melas,Dasyuridae,50,50,0,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,200,Ref_117,1
Myoictis wallacii,Dasyuridae,50,50,0,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,200,"Ref_2, Ref_3",0
Neophascogale lorentzi,Dasyuridae,80,0,0,0,20,0,0,0,0,0,Ref_1,ABC,Ar,A,,0,1,1,Ref_1,ABC,212,Ref_117,1
Parantechinus apicalis,Dasyuridae,70,0,0,0,0,0,0,30,0,0,Ref_1,ABC,Ar,A,,1,1,1,Ref_1,ABC,68.75,Ref_117,1
Phascolosorex doriae,Dasyuridae,70,0,0,0,0,0,30,0,0,0,Ref_2,D1,S,A,,1,1,0,Ref_1,ABC,168.31,Ref_117,1
Phascolosorex dorsalis,Dasyuridae,70,0,0,0,0,0,30,0,0,0,Ref_2,D1,S,A,,1,1,0,Ref_1,ABC,138.5,Ref_117,1
Pseudantechinus bilarni,Dasyuridae,70,0,0,0,0,0,0,30,0,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,23.05,Ref_58,1
Pseudantechinus woolleyae,Dasyuridae,100,0,0,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,40,Ref_117,1
Pseudantechinus roryi,Dasyuridae,100,0,0,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,25.06,"Ref_2, Ref_3",0
Pseudantechinus ningbing,Dasyuridae,100,0,0,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,20,Ref_117,1
Pseudantechinus macdonnellensis,Dasyuridae,100,0,0,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,32.5,Ref_117,1
Pseudantechinus mimulus,Dasyuridae,90,0,0,0,10,0,0,0,0,0,Ref_54,ABC,G,A,,1,0,0,Ref_1,ABC,16.5,Ref_130,1
Sarcophilus harrisii,Dasyuridae,0,0,0,0,0,100,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,10000,Ref_117,1
Antechinus leo,Dasyuridae,90,0,0,0,10,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,74,Ref_117,1
Antechinus subtropicus,Dasyuridae,90,0,0,0,10,0,0,0,0,0,Ref_54,ABC,G,A,,1,0,0,Ref_1,ABC,59.5,Ref_130,1
Antechinus stuartii,Dasyuridae,90,10,0,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,27.5,Ref_117,1
Antechinus minimus,Dasyuridae,90,10,0,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,53.5,Ref_117,1
Antechinus flavipes,Dasyuridae,90,10,0,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,45,Ref_117,1
Antechinus bellus,Dasyuridae,90,10,0,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,44.5,Ref_117,1
Antechinus agilis,Dasyuridae,80,0,0,0,10,0,10,0,0,0,Ref_70,ABC,G,A,,1,0,0,Ref_1,ABC,22.13,Ref_58,1
Antechinus adustus,Dasyuridae,80,0,0,0,10,10,0,0,0,0,Ref_70,ABC,G,A,,1,0,0,Ref_1,ABC,36,Ref_130,1
Antechinus swainsonii,Dasyuridae,90,10,0,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,53,Ref_117,1
Antechinus godmani,Dasyuridae,90,10,0,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,76.5,Ref_117,1
Micromurexia habbema,Dasyuridae,70,10,20,0,0,0,0,0,0,0,Ref_3,D2,G,A,,1,0,0,Ref_1,ABC,46.97,"Ref_2, Ref_3",0
Murexechinus melanurus,Dasyuridae,90,10,0,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,1,1,Ref_1,ABC,38.02,Ref_58,1
Murexia longicaudata,Dasyuridae,60,20,20,0,0,0,0,0,0,0,Ref_1,ABC,S,A,,0,1,1,Ref_1,ABC,335.83,Ref_117,1
Paramurexia rothschildi,Dasyuridae,60,20,20,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,1,1,Ref_1,ABC,53.77,Ref_58,1
Phascomurexia naso,Dasyuridae,90,10,0,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,1,1,Ref_1,ABC,52.62,Ref_58,1
Phascogale calura,Dasyuridae,30,40,30,0,0,0,0,0,0,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,51.5,Ref_117,1
Phascogale tapoatafa,Dasyuridae,30,40,30,0,0,0,0,0,0,0,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,193.5,Ref_117,1
Antechinomys laniger,Dasyuridae,80,10,10,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,25.57,Ref_58,1
Ningaui yvonnae,Dasyuridae,80,0,0,0,20,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,7,Ref_117,1
Ningaui ridei,Dasyuridae,80,0,0,0,20,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,8.5,Ref_117,1
Ningaui timealeyi,Dasyuridae,80,0,0,0,20,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,5.7,Ref_117,1
Sminthopsis griseoventer,Dasyuridae,80,10,10,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,17.5,Ref_117,1
Sminthopsis virginiae,Dasyuridae,80,10,10,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,35.25,Ref_117,1
Sminthopsis psammophila,Dasyuridae,80,10,10,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,33.5,Ref_117,1
Sminthopsis ooldea,Dasyuridae,80,10,10,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,11,Ref_117,1
Sminthopsis murina,Dasyuridae,80,10,10,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,17,Ref_117,1
Sminthopsis macroura,Dasyuridae,80,10,10,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,20,Ref_117,1
Sminthopsis longicaudata,Dasyuridae,80,10,10,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,18,Ref_117,1
Sminthopsis leucopus,Dasyuridae,80,10,10,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,26,Ref_117,1
Sminthopsis douglasi,Dasyuridae,80,10,10,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,55,Ref_117,1
Sminthopsis hirtipes,Dasyuridae,80,10,10,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,15,Ref_117,1
Sminthopsis youngsoni,Dasyuridae,80,10,10,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,10.1,Ref_117,1
Sminthopsis fuliginosus,Dasyuridae,80,10,10,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,19.89,"Ref_2, Ref_3",0
Sminthopsis dolichura,Dasyuridae,80,10,10,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,13.6,Ref_117,1
Sminthopsis crassicaudata,Dasyuridae,80,10,10,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,15,Ref_117,1
Sminthopsis butleri,Dasyuridae,80,10,10,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,25,Ref_117,1
Sminthopsis boullangerensis,Dasyuridae,80,10,10,0,0,0,0,0,0,0,Ref_2,D1,G,A,,1,0,0,Ref_2,D1,19.89,"Ref_2, Ref_3",0
Sminthopsis bindi,Dasyuridae,80,10,10,0,0,0,0,0,0,0,Ref_2,D1,G,A,,1,0,0,Ref_2,D1,17.5,Ref_130,1
Sminthopsis archeri,Dasyuridae,80,10,10,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,16,Ref_117,1
Sminthopsis aitkeni,Dasyuridae,80,10,10,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,22.5,Ref_117,1
Sminthopsis granulipes,Dasyuridae,80,10,10,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,25,Ref_117,1
Sminthopsis gilberti,Dasyuridae,80,10,10,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,19.5,Ref_117,1
Planigale gilesi,Dasyuridae,40,30,30,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,1,1,Ref_1,ABC,9.2,Ref_117,1
Planigale tenuirostris,Dasyuridae,40,30,30,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,6.05,Ref_117,1
Planigale novaeguineae,Dasyuridae,40,30,30,0,0,0,0,0,0,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,14.9,Ref_117,1
