VALUE,CLASSNAMES,R,G,B,red,green,blue
139,Tree Height = 39 meters,32,107,18,0.12549019600,0.41960784300,0.07058823500
140,Tree Height = 40 meters,28,105,17,0.10980392200,0.41176470600,0.06666666700
141,Tree Height = 41 meters,26,99,15,0.10196078400,0.38823529400,0.05882352900
142,Tree Height = 42 meters,23,97,14,0.09019607800,0.38039215700,0.05490196100
143,Tree Height = 43 meters,21,92,12,0.08235294100,0.36078431400,0.04705882400
144,Tree Height = 44 meters,19,89,11,0.07450980400,0.34901960800,0.04313725500
145,Tree Height = 45 meters,17,84,9,0.06666666700,0.32941176500,0.03529411800
146,Tree Height = 46 meters,14,82,8,0.05490196100,0.32156862700,0.03137254900
147,Tree Height = 47 meters,11,77,6,0.04313725500,0.30196078400,0.02352941200
148,Tree Height = 48 meters,10,74,5,0.03921568600,0.29019607800,0.01960784300
149,Tree Height = 49 meters,7,69,4,0.02745098000,0.27058823500,0.01568627500
150,Tree Height = 50 meters,6,66,3,0.02352941200,0.25882352900,0.01176470600
151,Tree Height = 51 meters,4,61,2,0.01568627500,0.23921568600,0.00784313700
152,Tree Height = 52 meters,4,59,2,0.01568627500,0.23137254900,0.00784313700
153,Tree Height = 53 meters,2,54,1,0.00784313700,0.21176470600,0.00392156900
154,Tree Height = 54 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
155,Tree Height = 55 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
156,Tree Height = 56 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
157,Tree Height = 57 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
158,Tree Height = 58 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
159,Tree Height = 59 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
160,Tree Height = 60 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
161,Tree Height = 61 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
162,Tree Height = 62 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
163,Tree Height = 63 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
164,Tree Height = 64 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
165,Tree Height = 65 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
166,Tree Height = 66 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
167,Tree Height = 67 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
168,Tree Height = 68 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
169,Tree Height = 69 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
170,Tree Height = 70 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
171,Tree Height = 71 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
172,Tree Height = 72 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
173,Tree Height = 73 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
174,Tree Height = 74 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
175,Tree Height = 75 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
176,Tree Height = 76 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
177,Tree Height = 77 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
178,Tree Height = 78 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
179,Tree Height = 79 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
180,Tree Height = 80 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
181,Tree Height = 81 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
182,Tree Height = 82 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
183,Tree Height = 83 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
184,Tree Height = 84 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
185,Tree Height = 85 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
186,Tree Height = 86 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
187,Tree Height = 87 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
188,Tree Height = 88 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
189,Tree Height = 89 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
190,Tree Height = 90 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
191,Tree Height = 91 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
192,Tree Height = 92 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
193,Tree Height = 93 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
194,Tree Height = 94 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
195,Tree Height = 95 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
196,Tree Height = 96 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
197,Tree Height = 97 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
198,Tree Height = 98 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
199,Tree Height >= 99 meters,0,51,0,0.00000000000,0.20000000000,0.00000000000
