capID,code,trapper,site,day,date,trap,trap.type,species,age,sex,breed,recap,left.tag,right.tag,clipped,total.wt,bag.wt,body.lgth,tail.lgth,comments,catnum
46,GRNDAM-3-A,KAT,GRNDAM,3,31-Aug-17,A4,S,SOTR,A,U,U,Y,,,CLIPPED,4,,,53,dead in trap,KING-171
47,GRNDAM-3-A,KAT,GRNDAM,3,31-Aug-17,A6,S,PEMA,A,F,P,Y,987,,,49,32,81,75,,
48,GRNDAM-3-A,KAT,GRNDAM,3,31-Aug-17,A10,S,PEMA,A,M,T,Y,995,,,50,32,80,71,,
49,GRNDAM-3-A,KAT,GRNDAM,3,31-Aug-17,B10,L,PEMA,A,M,T,Y,963,,,51,33,80,74,bald patch,
50,GRNDAM-3-A,KAT,GRNDAM,3,31-Aug-17,C1,L,PEMA,A,M,T,Y,990,,,50,33,79,72,,
51,GRNDAM-3-B,AMM,GRNDAM,3,31-Aug-17,G10,S,PEMA,A,M,T,Y,839,,,50,37,76,67,,
52,GRNDAM-3-B,AMM,GRNDAM,3,31-Aug-17,E3,L,PEMA,S,F,N,Y,965,,,51,39,80,72,,
53,GRNDAM-3-B,AMM,GRNDAM,3,31-Aug-17,E8,S,PEMA,A,F,P,Y,893,,,52,37,79,72,,
54,GRNDAM-3-B,AMM,GRNDAM,3,31-Aug-17,F9,S,PEMA,A,M,T,Y,886,,,54,36,83,66,,
55,GRNDAM-3-B,AMM,GRNDAM,3,31-Aug-17,I1,L,PEMA,S,M,T,Y,838,,,49,34,74,66,,
56,GRNDAM-3-B,AMM,GRNDAM,3,31-Aug-17,G1,L,PEMA,A,M,T,Y,183,,,52,36,84,73,,
57,GRNHOU-0-A,KAT,GRNHOU,0,24-Jul-17,F1,S,TAQU,A,M,T,N,,,,66,,,,prebait mortality,KING-070
58,GRNHOU-1-A,BRP,GRNHOU,1,25-Jul-17,J6,L,SOXX,A,M,T,N,,,CLIPPED,50.5,45,55,45,,
59,GRNHOU-1-A,BRP,GRNHOU,1,25-Jul-17,H6,L,PEMA,A,M,T,N,103,,,60,44,64,58,aggressive,
60,GRNHOU-1-A,BRP,GRNHOU,1,25-Jul-17,G10,S,PEMA,A,M,T,N,116,,,58,44,MD,MD,escaped after ear tag,
61,GRNHOU-1-A,BRP,GRNHOU,1,25-Jul-17,G6,S,SPRU,,,,,,,,,,,,,
62,GRNHOU-1-A,BRP,GRNHOU,1,25-Jul-17,G3,L,PEMA,S,F,N,N,117,,,55,44,70,69,,
63,GRNHOU-1-A,BRP,GRNHOU,1,25-Jul-17,G1,L,PEMA,A,M,T,N,124,,,57,44,58,60,,
64,GRNHOU-1-A,BRP,GRNHOU,1,25-Jul-17,F2,L,SOTR,A,U,U,N,,,CLIPPED,52,47,,49,,
65,GRNHOU-1-A,BRP,GRNHOU,1,25-Jul-17,F9,S,PEMA,S,F,N,N,402,,,54,44,62,59,very small,
66,GRNHOU-1-B,KAT,GRNHOU,1,25-Jul-17,A2,L,PEMA,A,M,N,N,193,,,49,34,80,58,,
67,GRNHOU-1-B,KAT,GRNHOU,1,25-Jul-17,A4,L,TAQU,A,M,T,N,177,,,116,33,,,,
68,GRNHOU-1-B,KAT,GRNHOU,1,25-Jul-17,A5,S,MISS,,,,,,,,,,,,not flagged…entire station missing,
69,GRNHOU-1-B,KAT,GRNHOU,1,25-Jul-17,A9,L,TAQU,A,F,P,N,004,,,132,33,,,,
70,GRNHOU-1-B,KAT,GRNHOU,1,25-Jul-17,B5,L,PEMA,A,M,N,N,045,,,48,34,70,59,,
71,GRNHOU-1-B,KAT,GRNHOU,1,25-Jul-17,B9,L,SPRU,,,,,,,,,,,,,
72,GRNHOU-1-B,KAT,GRNHOU,1,25-Jul-17,C2,L,GLSA,A,M,T,N,180,,,148,32,,,,
73,GRNHOU-1-B,KAT,GRNHOU,1,25-Jul-17,C3,S,SOXX,A,U,U,N,,,,4.5,,,48,dead,KING-073
74,GRNHOU-1-B,KAT,GRNHOU,1,25-Jul-17,D10,L,PEMA,S,F,N,N,010,,,49,36,69,65,,
75,GRNHOU-1-B,KAT,GRNHOU,1,25-Jul-17,E3,L,PEMA,A,M,N,N,025,,,46,34,67,60,,
76,GRNHOU-1-B,KAT,GRNHOU,1,25-Jul-17,E5,L,PEMA,A,F,N,N,042,,,51,34,85,77,,
77,GRNHOU-2-A,KAT,GRNHOU,2,26-Jul-17,A1,S,PEMA,A,M,N,Y,045,,,47,34,66,56,,
78,GRNHOU-2-A,KAT,GRNHOU,2,26-Jul-17,A3,S,SPRU,,,,,,,,,,,,,
79,GRNHOU-2-A,KAT,GRNHOU,2,26-Jul-17,A4,L,TAQU,A,M,T,Y,177,,,120,34,,,,
80,GRNHOU-2-A,KAT,GRNHOU,2,26-Jul-17,A9,L,TAQU,A,F,P,Y,004,,,125,35,,,,
81,GRNHOU-2-A,KAT,GRNHOU,2,26-Jul-17,B3,L,PEMA,A,M,T,Y,193,,,51,35,82,58,slightly scrotal,
82,GRNHOU-2-A,KAT,GRNHOU,2,26-Jul-17,C6,L,PEMA,A,F,N,Y,042,,,51,34,82,74,squeaky,
83,GRNHOU-2-A,KAT,GRNHOU,2,26-Jul-17,D2,S,PEMA,A,M,N,Y,025,,,47,34,63,59,,
84,GRNHOU-2-B,BRP,GRNHOU,2,26-Jul-17,I4,S,PEMA,MD,MD,MD,N,,,,MD,MD,MD,MD,escaped,
85,GRNHOU-2-B,BRP,GRNHOU,2,26-Jul-17,H7,S,PEMA,S,M,N,N,104,,,59,45,63,69,,
86,GRNHOU-2-B,BRP,GRNHOU,2,26-Jul-17,G8,S,PEMA,A,M,T,N,406,,,59,43,62,67,,
87,GRNHOU-2-B,BRP,GRNHOU,2,26-Jul-17,G1,L,SOTR,A,M,U,Y,,,CLIPPED,51,46,,49,stinky,
88,GRNHOU-3-A,BRP,GRNHOU,3,27-Jul-17,J6,L,SOXX,A,U,U,N,,,CLIPPED,51,46,,48,shrew,
89,GRNHOU-3-A,BRP,GRNHOU,3,27-Jul-17,J9,S,PEBO,A,F,P,N,114,,,62,45,MD,MD,gray with yellow flanks; escaped,
90,GRNHOU-3-A,BRP,GRNHOU,3,27-Jul-17,I2,S,PEMA,A,MD,MD,Y,117,,,60,48,MD,MD,escaped,
91,GRNHOU-3-A,BRP,GRNHOU,3,27-Jul-17,H4,L,PEMA,MD,MD,MD,N,,,,MD,MD,MD,MD,escaped,
92,GRNHOU-3-A,BRP,GRNHOU,3,27-Jul-17,H8,L,PEMA,A,M,T,N,421,,,58,45,64,58,,
93,GRNHOU-3-A,BRP,GRNHOU,3,27-Jul-17,G1,L,PEBO,MD,MD,MD,Y,193,,,58,42,MD,MD,yellow flanks,
94,GRNHOU-3-B,KAT,GRNHOU,3,27-Jul-17,A1,S,PEMA,A,M,N,Y,025,,,47,34,70,60,very small,
95,GRNHOU-3-B,KAT,GRNHOU,3,27-Jul-17,A2,L,PEBO,A,F,N,N,185,,,59,32,91,99,hind foot = 20mm; ear = 18mm; hairy tail,
96,GRNHOU-3-B,KAT,GRNHOU,3,27-Jul-17,A3,S,TAQU,A,M,T,Y,177,,,117,33,,,,
97,GRNHOU-3-B,KAT,GRNHOU,3,27-Jul-17,A8,S,SOVA,A,U,U,N,,,,43,37,,50,,
98,GRNHOU-3-B,KAT,GRNHOU,3,27-Jul-17,A9,L,TAQU,A,F,P,Y,004,,,124,34,,,,
99,GRNHOU-3-B,KAT,GRNHOU,3,27-Jul-17,D4,S,GLSA,A,M,T,Y,180,,,132,34,,,,
100,GRNHOU-3-B,KAT,GRNHOU,3,27-Jul-17,C8,L,PEMA,S,F,N,Y,402,,,49,38,67,60,,
101,GRNHOU-3-B,KAT,GRNHOU,3,27-Jul-17,E5,L,PEMA,A,M,N,Y,045,,,46,34,72,57,,
102,GRNHOU-3-B,KAT,GRNHOU,3,27-Jul-17,D6,S,PEMA,A,F,N,Y,042,,,50,34,83,74,,
103,GRNKAN-1-A,BRP,GRNKAN,1,1-Aug-17,A4,L,REME,A,M,T,N,123,,,64,45,MD,MD,all brown,
104,GRNKAN-1-A,BRP,GRNKAN,1,1-Aug-17,A8,L,SPRU,,,,,,,,,,,,,
105,GRNKAN-1-A,BRP,GRNKAN,1,1-Aug-17,C10,L,SOTR,A,U,U,N,,,,5,,,51,dead,KING-095
106,GRNKAN-1-A,BRP,GRNKAN,1,1-Aug-17,E9,S,REME,A,F,P,N,,,,65,46,77,73,dead,KING-049
107,GRNKAN-1-A,BRP,GRNKAN,1,1-Aug-17,F9,L,SPRU,,,,,,,,,,,,,
108,GRNKAN-1-B,MLW,GRNKAN,1,1-Aug-17,I4,L,PEBO,A,F,N,N,377,,,55,36,89,94,,
109,GRNKAN-1-B,MLW,GRNKAN,1,1-Aug-17,J10,S,PEMA,A,M,T,N,488,,,50,34,82,63,,
110,GRNKAN-1-B,MLW,GRNKAN,1,1-Aug-17,H10,S,PEMA,A,M,T,N,284,,,50,35,68,70,,
111,GRNKAN-1-C,CHT,GRNKAN,1,1-Aug-17,J8,S,PEBO,A,F,N,N,497,,,55,36,82,95,,
112,GRNKAN-1-C,CHT,GRNKAN,1,1-Aug-17,J9,L,PEBO,A,M,T,N,333,,,40,16,88,101,died during processing,KING-052
113,GRNKAN-2-A,BRP,GRNKAN,2,2-Aug-17,I3,S,DISD,,,,,,,,,,,,,
114,GRNKAN-2-A,BRP,GRNKAN,2,2-Aug-17,H10,L,REME,A,M,T,Y,488,,,61,43,80,65,,
115,GRNKAN-2-A,BRP,GRNKAN,2,2-Aug-17,E1,S,REME,A,M,T,N,424,,,64,43,79,67,,
116,GRNKAN-2-A,BRP,GRNKAN,2,2-Aug-17,E2,L,SPRU,,,,,,,,,,,,,
117,GRNKAN-2-A,BRP,GRNKAN,2,2-Aug-17,E6,L,DEST,,,,,,,,,,,,,
118,GRNKAN-2-A,BRP,GRNKAN,2,2-Aug-17,C10,L,PEMA,A,F,N,N,410,,,55,44,60,63,,
119,GRNKAN-2-B,CHT,GRNKAN,2,2-Aug-17,J1,L,PEBO,A,M,T,Y,377,,,56,37,62,95,,
120,GRNKAN-2-B,CHT,GRNKAN,2,2-Aug-17,J8,S,PEBO,A,F,N,Y,497,,,53,34,75,95,dead,KING-031
121,GRNKAN-2-B,CHT,GRNKAN,2,2-Aug-17,F5,L,SPRU,,,,,,,,,,,,,
122,GRNKAN-3-A,CHT,GRNKAN,3,3-Aug-17,C2,L,SPRU,,,,,,,,,,,,,
123,GRNKAN-3-A,CHT,GRNKAN,3,3-Aug-17,C10,L,PEMA,A,M,T,N,496,,,33,17,70,65,,
124,GRNKAN-3-B,MLW,GRNKAN,3,3-Aug-17,E1,S,PEBO,A,M,T,N,492,,,53,35,87,96,,
125,GRNKAN-3-B,MLW,GRNKAN,3,3-Aug-17,F1,L,PEMA,A,F,P,N,292,,,57,39,73,67,,
126,GRNKAN-3-B,MLW,GRNKAN,3,3-Aug-17,F9,L,PEMA,A,M,T,N,393,,,51,35,75,66,,
127,GRNKAN-3-C,BRP,GRNKAN,3,3-Aug-17,I4,L,PEBO,A,F,N,Y,377,,,63,45,72,83,,
128,GRNKAN-3-C,BRP,GRNKAN,3,3-Aug-17,H7,L,PEBO,A,M,T,N,405,,,63,47,71,80,,
129,GRNKAN-3-C,BRP,GRNKAN,3,3-Aug-17,H10,S,PEXX,A,M,T,Y,884,,,58,44,65,70,PEBO or REME,
130,GRNMAS-1-A,MLW,GRNMAS,1,15-Aug-17,A6,L,DISD,,,,,,,,,,,,rolled over,
131,GRNMAS-1-A,MLW,GRNMAS,1,15-Aug-17,B10,S,PEMA,A,M,T,N,673,,,49,32,75,71,,
132,GRNMAS-1-A,MLW,GRNMAS,1,15-Aug-17,B2,S,DISD,,,,,,,,,,,,tipped on side,
133,GRNMAS-1-A,MLW,GRNMAS,1,15-Aug-17,D9,S,PEMA,A,M,T,N,280,,,48,33,76,58,,
134,GRNMAS-1-A,MLW,GRNMAS,1,15-Aug-17,D8,L,PEMA,A,F,N,N,657,,,46,33,63,57,,
135,GRNMAS-1-A,MLW,GRNMAS,1,15-Aug-17,D6,S,SOTR,A,F,U,N,,,,4.5,,47,47,dead,KING-101
136,GRNMAS-1-A,MLW,GRNMAS,1,15-Aug-17,D5,L,ROBB,,,,,,,,,,,,missing bait; no other signs of intrusion,
137,GRNMAS-1-A,MLW,GRNMAS,1,15-Aug-17,E1,S,PEMA,A,F,N,N,662,,,47,33,80,58,,
138,GRNMAS-1-A,MLW,GRNMAS,1,15-Aug-17,F8,S,GLSA,A,F,N,N,652,,,167,36,,,,
139,GRNMAS-1-A,MLW,GRNMAS,1,15-Aug-17,F5,L,PEMA,A,M,T,N,664,,,50,34,84,79,,
140,GRNMAS-1-B,MFS,GRNMAS,1,15-Aug-17,J2,S,PEBO,S,M,N,N,803,,,52,34,79,87,very grey,
141,GRNMAS-1-B,MFS,GRNMAS,1,15-Aug-17,J3,L,PEMA,A,F,N,N,753,,,53,37,78,69,,
142,GRNMAS-1-B,MFS,GRNMAS,1,15-Aug-17,J4,S,URBE,A,M,T,N,810,,,400,37,,,,
143,GRNMAS-1-B,MFS,GRNMAS,1,15-Aug-17,J10,S,SPRU,,,,,,,,,,,,,
144,GRNMAS-1-B,MFS,GRNMAS,1,15-Aug-17,I5,S,ROBB,,,,,,,,,,,,,
145,GRNMAS-1-B,MFS,GRNMAS,1,15-Aug-17,I3,S,SPRU,,,,,,,,,,,,,
146,GRNMAS-1-B,MFS,GRNMAS,1,15-Aug-17,H10,S,SPRU,,,,,,,,,,,,possibly because of beetle,
147,GRNMAS-1-B,MFS,GRNMAS,1,15-Aug-17,G5,S,SPRU,,,,,,,,,,,,possibly because of beetle,
148,GRNMAS-1-B,MFS,GRNMAS,1,15-Aug-17,G3,S,PEMA,A,M,T,N,752,,,51,36,83,68,,
149,GRNMAS-2-A,AMM,GRNMAS,2,16-Aug-17,A10,L,PEMA,S,M,T,N,826,,,49,34,74,67,,
150,GRNMAS-2-A,AMM,GRNMAS,2,16-Aug-17,D6,S,PEMA,S,F,P,Y,657,,,48,34,75,60,,
151,GRNMAS-2-A,AMM,GRNMAS,2,16-Aug-17,E10,L,SPRU,,,,,,,,,,,,,
152,GRNMAS-2-A,AMM,GRNMAS,2,16-Aug-17,F5,L,PEMA,S,M,N,Y,664,,,52,36,81,79,,
153,GRNMAS-2-A,AMM,GRNMAS,2,16-Aug-17,F8,S,SOTR,S,M,U,N,,,,4,,,,,KING-067
154,GRNMAS-2-B,MFS,GRNMAS,2,16-Aug-17,J2,S,PEMA,S,F,N,Y,662,,,51,35,80,60,,
155,GRNMAS-2-B,MFS,GRNMAS,2,16-Aug-17,J3,L,DISD,,,,,,,,,,,,knocked over,
156,GRNMAS-2-B,MFS,GRNMAS,2,16-Aug-17,J6,S,PEMA,S,F,N,Y,753,,,50,35,82,71,,
157,GRNMAS-2-B,MFS,GRNMAS,2,16-Aug-17,I8,L,ROBB,,,,,,,,,,,,,
158,GRNMAS-2-B,MFS,GRNMAS,2,16-Aug-17,I5,S,PEMA,S,F,N,N,847,,,53,35,84,64,,
159,GRNMAS-2-B,MFS,GRNMAS,2,16-Aug-17,I3,S,PEBO,A,M,T,Y,803,,,52,35,83,91,,
160,GRNMAS-2-B,MFS,GRNMAS,2,16-Aug-17,I1,S,PETR,A,F,P,N,705,,,59,36,100,97,,
161,GRNMAS-2-B,MFS,GRNMAS,2,16-Aug-17,H7,L,SPRU,,,,,,,,,,,,,
162,GRNMAS-2-B,MFS,GRNMAS,2,16-Aug-17,H9,L,SPRU,,,,,,,,,,,,,
163,GRNMAS-2-B,MFS,GRNMAS,2,16-Aug-17,H10,S,PEMA,S,M,N,N,845,,,50,36,75,64,,
164,GRNMAS-2-B,MFS,GRNMAS,2,16-Aug-17,G5,S,PEMA,S,M,N,Y,280,,,54,37,77,64,,
165,GRNMAS-2-B,MFS,GRNMAS,2,16-Aug-17,G3,S,PEMA,S,M,T,Y,752,,,50,35,77,69,,
166,GRNMAS-2-B,MFS,GRNMAS,2,16-Aug-17,B5,L,PEMA,S,M,T,Y,673,,,54,35,85,76,,
167,GRNMAS-3-A,AMM,GRNMAS,3,17-Aug-17,C10,L,SOTR,A,M,U,N,,,,44,38,,,died; possibly testicular (stinky),KING-096
168,GRNMAS-3-A,AMM,GRNMAS,3,17-Aug-17,F8,S,SPRU,,,,,,,,,,,,,
169,GRNMAS-3-A,AMM,GRNMAS,3,17-Aug-17,I2,L,PEMA,S,M,N,Y,752,,,57,40,76,71,,
170,GRNMAS-3-A,AMM,GRNMAS,3,17-Aug-17,H2,S,PEMA,S,M,N,Y,753,,,52,35,82,71,,
171,GRNMAS-3-A,AMM,GRNMAS,3,17-Aug-17,G5,S,PEMA,J,F,N,N,829,,,44,34,73,56,,
172,GRNMAS-3-A,AMM,GRNMAS,3,17-Aug-17,F5,L,PEMA,S,M,N,Y,280,,,50,33,80,63,,
173,GRNMAS-3-A,AMM,GRNMAS,3,17-Aug-17,E3,S,PEMA,S,F,N,Y,662,,,50,35,75,55,very still,
174,GRNMAS-3-A,AMM,GRNMAS,3,17-Aug-17,J1,L,SOTR,A,U,U,N,,,,4,,,,kind of smelly,KING-076
175,GRNMAS-3-B,MFS,GRNMAS,3,17-Aug-17,B8,L,PEMA,S,F,N,Y,657,,,49,34,73,58,,
176,GRNMAS-3-B,MFS,GRNMAS,3,17-Aug-17,B4,S,PEMA,A,M,T,Y,673,,,51,33,83,70,,
177,GRNMAS-3-B,MFS,GRNMAS,3,17-Aug-17,D8,L,PEBO,A,M,T,Y,803,,,50,34,80,90,,
178,GRNMAS-3-B,MFS,GRNMAS,3,17-Aug-17,F10,S,PEMA,S,M,N,N,755,,,48,35,74,67,,
179,GRNMAS-3-B,MFS,GRNMAS,3,17-Aug-17,E2,L,PEMA,A,M,T,Y,664,,,58,40,85,75,,
180,GRNQUA-1-A,MJH,GRNQUA,1,8-Aug-17,J1,L,SPRU,,,,,,,,,,,,Trap half open; replaced,
181,GRNQUA-1-A,MJH,GRNQUA,1,8-Aug-17,J8,S,PEMA,A,F,P,N,448,,,54,40,72,63,2 small holes in left ear; very large ears,
182,GRNQUA-1-A,MJH,GRNQUA,1,8-Aug-17,J10,S,PEBO,A,M,T,N,169,,,59,39,78,79,,
183,GRNQUA-1-A,MJH,GRNQUA,1,8-Aug-17,I3,S,ROBB,,,,,,,,,,,,treadle stuck open,
184,GRNQUA-1-A,MJH,GRNQUA,1,8-Aug-17,H3,L,PEMA,A,F,P,N,317,,,63,36,81,72,,
185,GRNQUA-1-A,MJH,GRNQUA,1,8-Aug-17,G1,S,PEMA,A,M,T,N,243,,,58,40,80,62,,
186,GRNQUA-1-B,CHT,GRNQUA,1,8-Aug-17,D4,S,SPRU,,,,,,,,,,,,,
187,GRNQUA-1-B,CHT,GRNQUA,1,8-Aug-17,D8,S,PEMA,A,M,T,N,378,,,48,34,70,60,,
188,GRNQUA-1-B,CHT,GRNQUA,1,8-Aug-17,F5,L,PEMA,A,M,T,N,289,,,56,35,70,65,,
189,GRNQUA-1-B,CHT,GRNQUA,1,8-Aug-17,G9,S,PEMA,A,M,T,N,282,,,54,35,65,60,,
190,GRNQUA-1-C,JMP,GRNQUA,1,8-Aug-17,A5,S,PEMA,J,M,N,N,086,,,60,43,67,57,,
191,GRNQUA-1-C,JMP,GRNQUA,1,8-Aug-17,C1,S,PEMA,A,M,T,N,339,,,65,47,64,66,,
192,GRNQUA-1-C,JMP,GRNQUA,1,8-Aug-17,C3,S,PEMA,J,M,N,N,211,,,61,46,58,60,,
193,GRNQUA-1-C,JMP,GRNQUA,1,8-Aug-17,C9,S,SOTR,U,U,U,N,,,,5,,,,dead,KING-034
194,GRNQUA-1-C,JMP,GRNQUA,1,8-Aug-17,G10,L,PEMA,A,F,P,N,080,,,68,42,68,65,,
195,GRNQUA-1-C,JMP,GRNQUA,1,8-Aug-17,G3,S,PEMA,A,M,T,N,214,,,71,44,69,64,,
196,GRNQUA-2-A,MJH,GRNQUA,2,9-Aug-17,A1,S,PEMA,A,M,T,Y,339,,,66,44,71,64,,
197,GRNQUA-2-A,MJH,GRNQUA,2,9-Aug-17,A7,S,SPRU,,,,,,,,,,,,,
198,GRNQUA-2-A,MJH,GRNQUA,2,9-Aug-17,B1,L,SPRU,,,,,,,,,,,,,
