capID,code,trapper,site,day,date,trap,trap.type,species,age,sex,breed,recap,left.tag,right.tag,clipped,total.wt,bag.wt,body.lgth,tail.lgth,comments,catnum
199,GRNQUA-2-A,MJH,GRNQUA,2,9-Aug-17,C5,S,PEMA,A,M,T,Y,086,,,56,41,72,56,,
200,GRNQUA-2-A,MJH,GRNQUA,2,9-Aug-17,C9,S,SPRU,,,,,,,,,,,,,
201,GRNQUA-2-A,MJH,GRNQUA,2,9-Aug-17,D8,S,PEMA,A,M,T,Y,282,,,57,40,73,64,,
202,GRNQUA-2-A,MJH,GRNQUA,2,9-Aug-17,D3,L,PEMA,S,M,N,Y,211,,,48,40,72,55,,
203,GRNQUA-2-A,MJH,GRNQUA,2,9-Aug-17,E10,L,SOVA,A,F,N,N,,,,4.6,,,,dead,KING-014
204,GRNQUA-2-A,MJH,GRNQUA,2,9-Aug-17,F4,S,PEMA,A,F,P,Y,317,,,64,39,89,79,,
205,GRNQUA-2-B,CHT,GRNQUA,2,9-Aug-17,J1,L,PEMA,A,F,P,Y,214,,,58,35,65,60,,
206,GRNQUA-2-B,CHT,GRNQUA,2,9-Aug-17,J9,L,PEMA,MD,MD,MD,Y,448,,,50,35,MD,MD,escaped,
207,GRNQUA-2-B,CHT,GRNQUA,2,9-Aug-17,I1,S,SPRU,,,,,,,,,,,,,
208,GRNQUA-2-B,CHT,GRNQUA,2,9-Aug-17,H6,S,PEMA,A,F,P,Y,378,,,51,33,65,61,,
209,GRNQUA-2-B,CHT,GRNQUA,2,9-Aug-17,G10,L,PEMA,A,F,N,Y,080,,,54,33,70,60,,
210,GRNQUA-2-B,CHT,GRNQUA,2,9-Aug-17,G8,L,PEMA,A,M,T,Y,289,,,57,39,68,65,,
211,GRNQUA-2-B,CHT,GRNQUA,2,9-Aug-17,G1,S,PEMA,A,M,T,Y,243,,,53,39,66,61,,
212,GRNQUA-3-A,MJH,GRNQUA,3,10-Aug-17,A4,L,PEMA,A,F,P,N,238,,,59,39,81,60,,
213,GRNQUA-3-A,MJH,GRNQUA,3,10-Aug-17,B4,S,PEMA,A,M,T,Y,086,,,58,40,70,59,,
214,GRNQUA-3-A,MJH,GRNQUA,3,10-Aug-17,B2,S,PETR,A,M,T,Y,339,,,57,40,70,68,huge ears,
215,GRNQUA-3-A,MJH,GRNQUA,3,10-Aug-17,C10,L,SOVA,A,F,L,N,,,,6,,,,dead; looks like recap; maybe from GRNSNO?,KING-079
216,GRNQUA-3-A,MJH,GRNQUA,3,10-Aug-17,C1,S,PEMA,A,M,T,N,314,,,56,40,69,60,,
217,GRNQUA-3-B,CHT,GRNQUA,3,10-Aug-17,D2,S,PEMA,A,F,P,N,290,,,51,35,63,55,,
218,GRNQUA-3-B,CHT,GRNQUA,3,10-Aug-17,D3,L,PEMA,A,F,P,Y,112,,,50,36,62,57,,
219,GRNQUA-3-B,CHT,GRNQUA,3,10-Aug-17,E8,L,SPRU,,,,,,,,,,,,,
220,GRNQUA-3-B,CHT,GRNQUA,3,10-Aug-17,F2,S,SOTR,A,U,U,N,,,,46,41,55,46,dead,KING-003
221,GRNQUA-3-B,CHT,GRNQUA,3,10-Aug-17,F9,L,PEMA,A,M,T,Y,282,,,51,33,68,64,,
222,GRNQUA-3-B,CHT,GRNQUA,3,10-Aug-17,G10,L,PEMA,A,F,P,Y,080,,,54,31,65,61,,
223,GRNQUA-3-B,CHT,GRNQUA,3,10-Aug-17,G6,L,PEMA,A,F,P,Y,378,,,51,36,70,62,,
224,GRNQUA-3-C,AMM,GRNQUA,3,10-Aug-17,J1,L,PEMA,A,M,T,N,704,,,57,35,89,69,could be recap; had holes in left ear where tag would be,
225,GRNQUA-3-C,AMM,GRNQUA,3,10-Aug-17,J9,L,PEMA,S,F,P,Y,448,,,48,34,74,64,,
226,GRNQUA-3-C,AMM,GRNQUA,3,10-Aug-17,J3,L,SPRU,,,,,,,,,,,,,
227,GRNQUA-3-C,AMM,GRNQUA,3,10-Aug-17,H9,L,PEMA,A,M,T,Y,169,,,57,35,84,76,,
228,GRNQUA-3-C,AMM,GRNQUA,3,10-Aug-17,H6,S,PEMA,A,M,T,Y,289,,,53,35,86,68,,
229,GRNQUA-3-C,AMM,GRNQUA,3,10-Aug-17,I2,L,PEMA,A,M,T,Y,214,,,55,35,82,58,,
230,GRNQUA-3-C,AMM,GRNQUA,3,10-Aug-17,G1,S,PEMA,A,M,T,Y,243,,,49,33,66,56,dead in trap; no fluff and trap in shaded area --> hypothermia? Could possibly not have been checked yesterday. Hard to stretch body to measure body length.,KING-087
231,GRNQUA-3-C,AMM,GRNQUA,3,10-Aug-17,G3,S,PEMA,A,F,P,Y,317,,,58,34,92,77,,
232,GRNSNO-1-A,KAT,GRNSNO,1,18-Jul-17,F2,L,PEMA,A,M,T,N,011,,,49,33,75,73,,
233,GRNSNO-1-A,KAT,GRNSNO,1,18-Jul-17,G3,L,PEMA,A,F,P,N,197,,,56,35,85,66,,
234,GRNSNO-1-A,KAT,GRNSNO,1,18-Jul-17,G10,S,PEMA,A,M,T,N,191,,,52,34,80,70,,
235,GRNSNO-1-A,KAT,GRNSNO,1,18-Jul-17,H7,S,SOTR,A,U,U,N,,,CLIPPED,39,33,,49,butt clipped,
236,GRNSNO-1-A,KAT,GRNSNO,1,18-Jul-17,H6,L,PEMA,A,M,T,N,182,,,53,34,85,68,,
237,GRNSNO-1-B,MLW,GRNSNO,1,18-Jul-17,J3,S,PEMA,A,M,T,N,348,,,47,32,79,66,,
238,GRNSNO-1-B,MLW,GRNSNO,1,18-Jul-17,J4,L,PEMA,A,M,T,N,332,,,46,38,76,59,,
239,GRNSNO-1-B,MLW,GRNSNO,1,18-Jul-17,J5,S,PEMA,A,F,P,N,327,,,55,32,77,71,,
240,GRNSNO-1-B,MLW,GRNSNO,1,18-Jul-17,J10,L,PEMA,S,F,N,N,281,,,48,34,72,62,,
241,GRNSNO-1-B,MLW,GRNSNO,1,18-Jul-17,I7,L,PEMA,A,M,T,N,388,,,51,33,74,70,,
242,GRNSNO-1-B,MLW,GRNSNO,1,18-Jul-17,I4,S,SPRU,,,,,,,,,,,,,
243,GRNSNO-1-B,MLW,GRNSNO,1,18-Jul-17,I2,S,SPRU,,,,,,,,,,,,,
244,GRNSNO-1-B,MLW,GRNSNO,1,18-Jul-17,H1,S,SPRU,,,,,,,,,,,,,
245,GRNSNO-1-B,MLW,GRNSNO,1,18-Jul-17,H3,S,PEMA,A,F,P,N,489,,,44,34,71,66,,
246,GRNSNO-2-A,KAT,GRNSNO,2,19-Jul-17,J1,S,PEMA,A,M,T,Y,332,,,51,33,75,60,,
247,GRNSNO-2-A,KAT,GRNSNO,2,19-Jul-17,J3,S,PEMA,A,M,T,Y,348,,,49,34,78,66,,
248,GRNSNO-2-A,KAT,GRNSNO,2,19-Jul-17,J4,L,PEMA,A,F,P,Y,327,,,56,34,83,75,,
249,GRNSNO-2-A,KAT,GRNSNO,2,19-Jul-17,J7,S,PEMA,A,M,T,Y,182,,,53,34,78,68,,
250,GRNSNO-2-A,KAT,GRNSNO,2,19-Jul-17,J10,L,PEMA,A,F,N,Y,281,,,46,33,67,64,,
251,GRNSNO-2-A,KAT,GRNSNO,2,19-Jul-17,I4,S,PEMA,A,M,T,Y,388,,,50,33,78,69,,
252,GRNSNO-2-A,KAT,GRNSNO,2,19-Jul-17,H1,S,PEMA,A,M,T,N,184,,,51,35,80,65,,
253,GRNSNO-2-A,KAT,GRNSNO,2,19-Jul-17,H3,S,PEMA,A,M,T,Y,011,,,49,34,76,73,,
254,GRNSNO-2-A,KAT,GRNSNO,2,19-Jul-17,H6,L,PEMA,A,F,N,Y,197,,,54,34,82,66,fat but doesn't seem pregnant,
255,GRNSNO-2-A,KAT,GRNSNO,2,19-Jul-17,H10,L,SOTR,A,U,U,N,,,CLIPPED,42,37,,49,,
256,GRNSNO-2-A,KAT,GRNSNO,2,19-Jul-17,G9,L,PEMA,A,M,T,Y,191,,,54,35,78,67,,
257,GRNSNO-2-B,MLW,GRNSNO,2,19-Jul-17,A3,L,PEMA,A,M,N,N,391,,,43,33,73,69,,
258,GRNSNO-2-B,MLW,GRNSNO,2,19-Jul-17,B2,L,SOTR,A,F,U,N,,,CLIPPED,39,35,,52,butt clipped,
259,GRNSNO-2-B,MLW,GRNSNO,2,19-Jul-17,C6,S,SOTR,U,U,U,N,,,,MD,MD,,MD,dead,KING-025
260,GRNSNO-2-B,MLW,GRNSNO,2,19-Jul-17,C7,L,PEMA,A,M,T,N,338,,,48,33,69,65,,
261,GRNSNO-2-B,MLW,GRNSNO,2,19-Jul-17,E1,L,SPRU,,,,,,,,,,,,,
262,GRNSNO-2-B,MLW,GRNSNO,2,19-Jul-17,E5,L,SPRU,,,,,,,,,,,,,
263,GRNSNO-2-B,MLW,GRNSNO,2,19-Jul-17,G4,S,PEMA,A,F,P,Y,489,,,50,33,74,68,,
264,GRNSNO-2-B,MLW,GRNSNO,2,19-Jul-17,G5,L,PEMA,A,M,T,N,296,,,51,36,77,67,,
265,GRNSNO-3-A,KAT,GRNSNO,3,20-Jul-17,B3,S,PEMA,A,M,N,Y,391,,,49,35,70,68,,
266,GRNSNO-3-A,KAT,GRNSNO,3,20-Jul-17,A7,L,SPRU,,,,,,,,,,,,,
267,GRNSNO-3-A,KAT,GRNSNO,3,20-Jul-17,C2,S,PEMA,A,M,T,Y,011,,,57,40,76,73,,
268,GRNSNO-3-A,KAT,GRNSNO,3,20-Jul-17,C7,L,PEMA,A,M,N,Y,338,,,49,35,70,64,,
269,GRNSNO-3-A,KAT,GRNSNO,3,20-Jul-17,D8,L,SPRU,,,,,,,,,,,,,
270,GRNSNO-3-A,KAT,GRNSNO,3,20-Jul-17,G2,L,PEMA,A,F,P,Y,197,,,55,34,85,66,,
271,GRNSNO-3-A,KAT,GRNSNO,3,20-Jul-17,F2,S,PEMA,A,M,T,Y,388,,,51,34,70,68,,
272,GRNSNO-3-A,KAT,GRNSNO,3,20-Jul-17,F1,L,PEMA,A,M,T,Y,184,,,50,34,83,65,,
273,GRNSNO-3-B,MLW,GRNSNO,3,20-Jul-17,J1,S,PEMA,A,M,T,Y,332,,,52,38,77,61,,
274,GRNSNO-3-B,MLW,GRNSNO,3,20-Jul-17,J3,L,PEMA,A,F,P,Y,327,,,53,32,76,71,,
275,GRNSNO-3-B,MLW,GRNSNO,3,20-Jul-17,J8,L,PEMA,A,M,T,Y,182,,,53,34,81,70,,
276,GRNSNO-3-B,MLW,GRNSNO,3,20-Jul-17,J10,L,PEMA,S,F,N,Y,281,,,51,33,73,63,,
277,GRNSNO-3-B,MLW,GRNSNO,3,20-Jul-17,I8,S,PEMA,A,M,T,Y,191,,,50,32,76,69,,
278,GRNSNO-3-B,MLW,GRNSNO,3,20-Jul-17,I7,L,SPRU,,,,,,,,,,,,,
279,GRNSNO-3-B,MLW,GRNSNO,3,20-Jul-17,I2,S,PEMA,A,M,T,Y,348,,,44,33,77,65,,
280,GRNSNO-3-B,MLW,GRNSNO,3,20-Jul-17,H4,L,PEMA,A,F,P,Y,489,,,52,33,75,66,,
281,GRNSNO-3-B,MLW,GRNSNO,3,20-Jul-17,H6,L,PEMA,A,M,T,N,295,,,48,33,74,66,,
282,GRNSNO-3-B,MLW,GRNSNO,3,20-Jul-17,H7,S,SOTR,U,U,U,Y,,,CLIPPED,MD,MD,,MD,dead,KING-045
283,GRNSNO-3-B,MLW,GRNSNO,3,20-Jul-17,G8,S,ROBB,,,,,,,,,,,,appears to have escaped through hole in trap,
284,GRNSNO-3-B,MLW,GRNSNO,3,20-Jul-17,G7,L,PEMA,A,M,T,Y,296,,,53,35,77,66,,
285,GRNTUR-1-A,AMM,GRNTUR,1,11-Jul-17,A10,S,PEXX,A,M,T,N,,,,51,35,MD,MD,escaped,
286,GRNTUR-1-A,AMM,GRNTUR,1,11-Jul-17,B8,L,PEMA,A,M,T,N,355,,,48,36,75,65,,
287,GRNTUR-1-A,AMM,GRNTUR,1,11-Jul-17,B9,S,ROBB,,,,,,,,,,,,,
288,GRNTUR-1-A,AMM,GRNTUR,1,11-Jul-17,C7,L,TAQU,A,F,L,N,138,,,134,36,,,,
289,GRNTUR-1-A,AMM,GRNTUR,1,11-Jul-17,E6,S,SPRU,,,,,,,,,,,,,
290,GRNTUR-1-B,MJH,GRNTUR,1,11-Jul-17,J1,S,PEMA,A,F,P,N,487,,,58,44,72,58,,
291,GRNTUR-1-B,MJH,GRNTUR,1,11-Jul-17,J6,L,PEMA,A,M,N,N,344,,,56,44,69,60,bad eartag,
292,GRNTUR-1-B,MJH,GRNTUR,1,11-Jul-17,J8,L,PEMA,A,F,P,N,215,,,60,42,76,67,,
293,GRNTUR-1-B,MJH,GRNTUR,1,11-Jul-17,H6,L,ROBB,,,,,,,,,,,,treadle really tight; appears to have been missed when setting traps,
294,GRNTUR-1-B,MJH,GRNTUR,1,11-Jul-17,I3,L,PEMA,S,M,N,N,341,,,59,45,75,59,,
295,GRNTUR-1-B,MJH,GRNTUR,1,11-Jul-17,I1,L,PEMA,A,M,T,N,335,,,59,43,73,72,looked odd for PEMA; large ears and bicolored tail,
296,GRNTUR-1-B,MJH,GRNTUR,1,11-Jul-17,H4,L,SPRU,,,,,,,,,,,,,
297,GRNTUR-1-B,MJH,GRNTUR,1,11-Jul-17,H10,L,SPRU,,,,,,,,,,,,,
298,GRNTUR-1-B,MJH,GRNTUR,1,11-Jul-17,F1,S,MISS,,,,,,,,,,,,Not set (still in prebaiting mode),
299,GRNTUR-1-B,MJH,GRNTUR,1,11-Jul-17,F2,L,MISS,,,,,,,,,,,,Not set (still in prebaiting mode),
300,GRNTUR-1-B,MJH,GRNTUR,1,11-Jul-17,F3,S,MISS,,,,,,,,,,,,Not set (still in prebaiting mode),
301,GRNTUR-1-B,MJH,GRNTUR,1,11-Jul-17,F4,L,MISS,,,,,,,,,,,,Not set (still in prebaiting mode),
302,GRNTUR-1-B,MJH,GRNTUR,1,11-Jul-17,F5,S,MISS,,,,,,,,,,,,Not set (still in prebaiting mode),
303,GRNTUR-1-B,MJH,GRNTUR,1,11-Jul-17,F7,S,MISS,,,,,,,,,,,,Not set (still in prebaiting mode),
304,GRNTUR-1-B,MJH,GRNTUR,1,11-Jul-17,F8,L,MISS,,,,,,,,,,,,Not set (still in prebaiting mode),
305,GRNTUR-1-B,MJH,GRNTUR,1,11-Jul-17,F9,S,MISS,,,,,,,,,,,,Not set (still in prebaiting mode),
306,GRNTUR-1.5-A,MJH,GRNTUR,1.5,11-Jul-17,I6,S,PETR,MD,F,MD,N,053,,,13,,69,68,dead,KING-033
307,GRNTUR-2-A,MJH,GRNTUR,2,12-Jul-17,J10,L,PEMA,A,M,N,Y,344,,,59,41,69,62,huge ears,
308,GRNTUR-2-A,MJH,GRNTUR,2,12-Jul-17,J8,L,PEMA,A,F,P,Y,215,,,58,42,83,69,may have recently given birth?,
309,GRNTUR-2-A,MJH,GRNTUR,2,12-Jul-17,J6,L,SPBE,A,F,P,N,209,,,700,40,,,,
310,GRNTUR-2-A,MJH,GRNTUR,2,12-Jul-17,J3,S,PEMA,S,M,N,Y,341,,,56,MD,66,56,,
311,GRNTUR-2-A,MJH,GRNTUR,2,12-Jul-17,J2,L,SOTR,S,F,N,N,,,,43,41,,MD,escaped,
312,GRNTUR-2-A,MJH,GRNTUR,2,12-Jul-17,H8,L,ROBB,,,,,,,,,,,,,
313,GRNTUR-2-A,MJH,GRNTUR,2,12-Jul-17,H1,S,PEMA,A,M,N,Y,335,,,60,40,77,72,,
314,GRNTUR-2-B,AMM,GRNTUR,2,12-Jul-17,B1,S,SPRU,,,,,,,,,,,,,
315,GRNTUR-2-B,AMM,GRNTUR,2,12-Jul-17,B10,L,PEMA,S,M,N,N,354,,,49,36,73,68,,
316,GRNTUR-2-B,AMM,GRNTUR,2,12-Jul-17,D10,L,SPRU,,,,,,,,,,,,,
317,GRNTUR-2-B,AMM,GRNTUR,2,12-Jul-17,E7,L,TAQU,S,M,T,N,135,,,106,34,,,,
318,GRNTUR-2-B,AMM,GRNTUR,2,12-Jul-17,F5,S,SPRU,,,,,,,,,,,,,
319,GRNTUR-2-B,AMM,GRNTUR,2,12-Jul-17,G6,S,SPRU,,,,,,,,,,,,,
320,GRNTUR-3-A,AMM,GRNTUR,3,13-Jul-17,C10,S,PEXX,MD,MD,MD,MD,,,,MD,MD,MD,MD,escaped,
321,GRNTUR-3-A,AMM,GRNTUR,3,13-Jul-17,C9,L,PEMA,A,M,T,Y,355,,,52,36,75,66,,
322,GRNTUR-3-B,MJH,GRNTUR,3,13-Jul-17,J6,L,SPRU,,,,,,,,,,,,,
323,GRNTUR-3-B,MJH,GRNTUR,3,13-Jul-17,J8,L,PEMA,A,F,L,Y,215,,,58,42,86,72,,
324,GRNTUR-3-B,MJH,GRNTUR,3,13-Jul-17,J10,L,PEXX,MD,MD,MD,MD,,,,MD,MD,MD,MD,escaped,
325,GRNTUR-3-B,MJH,GRNTUR,3,13-Jul-17,H10,L,SPRU,,,,,,,,,,,,,
326,GRNTUR-3-B,MJH,GRNTUR,3,13-Jul-17,H1,S,PEMA,A,F,P,Y,487,,,58,42,75,60,,
327,GRNTUR-3-B,MJH,GRNTUR,3,13-Jul-17,H2,L,SPRU,,,,,,,,,,,,door half open,
328,GRNTUR-3-B,MJH,GRNTUR,3,13-Jul-17,H7,S,PEMA,S,F,N,N,224,,,53,42,59,49,,
329,GRNTUR-3-B,MJH,GRNTUR,3,13-Jul-17,H8,L,SPRU,,,,,,,,,,,,,
330,GRNTUR-3-B,MJH,GRNTUR,3,13-Jul-17,G6,S,PEMA,A,M,N,N,218,,,59,42,74,68,,
331,GRNTUR-3-B,MJH,GRNTUR,3,13-Jul-17,G4,S,ROBB,,,,,,,,,,,,,
332,GRNWOO-0-A,HEM JMP KAT MLW AMM,GRNWOO,0,3-Jul-17,H1,S,PEMA,A,U,U,N,,,,11,,75,61,prebait mortality; skin eaten from around skull by ants; body length is approximate,KING-066
333,GRNWOO-0-A,HEM JMP KAT MLW AMM,GRNWOO,0,3-Jul-17,A3,L,NEFU,A,MD,MD,N,,,,MD,MD,,,escaped without measuring,
334,GRNWOO-1-A,HEM JMP,GRNWOO,1,4-Jul-17,A3,L,MISS,,,,,,,,,,,,not set; no batting,
335,GRNWOO-1-A,HEM JMP,GRNWOO,1,4-Jul-17,B2,L,NEFU,A,M,T,N,432,,,293,34,,,,
336,GRNWOO-1-A,HEM JMP,GRNWOO,1,4-Jul-17,A5,L,NEFU,A,F,P,N,168,,,215,34,,,,
337,GRNWOO-1-A,HEM JMP,GRNWOO,1,4-Jul-17,A6,S,PEBO,A,M,T,N,434,,,54,33,84,86,,
338,GRNWOO-1-A,HEM JMP,GRNWOO,1,4-Jul-17,A7,L,DISD,,,,,,,,,,,,treadle too tight,
339,GRNWOO-1-A,HEM JMP,GRNWOO,1,4-Jul-17,B8,L,PEBO,A,M,T,N,436,,,52,31,MD,89,escaped; PEBO is guess,
340,GRNWOO-1-A,HEM JMP,GRNWOO,1,4-Jul-17,B1,S,PEMA,J,M,N,N,433,,,47,33,70,64,,
341,GRNWOO-1-A,HEM JMP,GRNWOO,1,4-Jul-17,C1,L,SOTR,MD,MD,MD,N,,,,MD,MD,,MD,dead; mort,KING-048
342,GRNWOO-1-A,HEM JMP,GRNWOO,1,4-Jul-17,C2,S,SPRU,,,,,,,,,,,,,
343,GRNWOO-1-A,HEM JMP,GRNWOO,1,4-Jul-17,D3,S,SOTR,A,F,N,N,,,CLIPPED,38,33,,MD,,
344,GRNWOO-1-A,HEM JMP,GRNWOO,1,4-Jul-17,C4,S,PEMA,J,M,N,N,151,,,47,35,70,68,treadle too tight,
345,GRNWOO-1-A,HEM JMP,GRNWOO,1,4-Jul-17,E10,S,PEMA,A,F,P,N,157,,,44,31,76,66,,
346,GRNWOO-1-A,HEM JMP,GRNWOO,1,4-Jul-17,E7,L,SPRU,,,,,,,,,,,,sprung by beetles,
347,GRNWOO-1-A,HEM JMP,GRNWOO,1,4-Jul-17,D6,L,SPRU,,,,,,,,,,,,sprung by beetles,
348,GRNWOO-1-A,HEM JMP,GRNWOO,1,4-Jul-17,E5,L,DISD,,,,,,,,,,,,door doesn't close,
349,GRNWOO-1-A,HEM JMP,GRNWOO,1,4-Jul-17,D4,L,PEXX,MD,MD,MD,MD,,,,MD,MD,MD,MD,escaped,
350,GRNWOO-1-A,HEM JMP,GRNWOO,1,4-Jul-17,H3,L,SPRU,,,,,,,,,,,,sprung by millipede,
351,GRNWOO-1-A,HEM JMP,GRNWOO,1,4-Jul-17,H6,L,SPRU,,,,,,,,,,,,,
352,GRNWOO-1-A,HEM JMP,GRNWOO,1,4-Jul-17,J2,L,SPRU,,,,,,,,,,,,sprung by banana slug,
353,GRNWOO-1-A,HEM JMP,GRNWOO,1,4-Jul-17,H9,L,PEMA,A,M,T,N,439,,,49,33,70,63,broken tail,
354,GRNWOO-1-A,HEM JMP,GRNWOO,1,4-Jul-17,F1,L,PEMA,S,M,N,N,167,,,51,40,70,66,,
355,GRNWOO-1-A,HEM JMP,GRNWOO,1,4-Jul-17,J4,L,PEMA,A,M,T,N,430,,,52,37,71,64,,
356,GRNWOO-2-A,HEM JMP,GRNWOO,2,5-Jul-17,J1,S,ROBB,,,,,,,,,,,,,
357,GRNWOO-2-A,HEM JMP,GRNWOO,2,5-Jul-17,J9,L,PEMA,A,M,T,N,154,,,40,31,80,62,,
358,GRNWOO-2-A,HEM JMP,GRNWOO,2,5-Jul-17,H1,L,SPRU,,,,,,,,,,,,,
359,GRNWOO-2-A,HEM JMP,GRNWOO,2,5-Jul-17,H5,L,ROBB,,,,,,,,,,,,,
360,GRNWOO-2-A,HEM JMP,GRNWOO,2,5-Jul-17,H9,L,SOTR,A,U,U,N,,,,MD,MD,,MD,dead,KING-065
361,GRNWOO-2-A,HEM JMP,GRNWOO,2,5-Jul-17,H10,S,ROBB,,,,,,,,,,,,ants,
362,GRNWOO-2-A,HEM JMP,GRNWOO,2,5-Jul-17,G9,S,ROBB,,,,,,,,,,,,ants,
363,GRNWOO-2-A,HEM JMP,GRNWOO,2,5-Jul-17,G2,L,SOTR,U,U,U,MD,,,,MD,MD,,MD,dead (trap in sun),KING-047
364,GRNWOO-2-A,HEM JMP,GRNWOO,2,5-Jul-17,F1,L,PEMA,A,M,T,Y,430,,,44,32,71,64,,
365,GRNWOO-2-A,HEM JMP,GRNWOO,2,5-Jul-17,F2,S,PEMA,S,M,N,Y,167,,,39,30,68,65,,
366,GRNWOO-2-A,HEM JMP,GRNWOO,2,5-Jul-17,B4,L,SPRU,,,,,,,,,,,,,
367,GRNWOO-2-A,HEM JMP,GRNWOO,2,5-Jul-17,C9,L,ROBB,,,,,,,,,,,,,
368,GRNWOO-2-A,HEM JMP,GRNWOO,2,5-Jul-17,E6,S,PEMA,A,F,P,Y,157,,,41,33,70,63,,
369,GRNWOO-2-A,HEM JMP,GRNWOO,2,5-Jul-17,D9,S,SOTR,A,U,U,Y,,,CLIPPED,MD,MD,,MD,dead (recap of live SOTR from 4 Jul 2017); updated from previous info,KING-057
370,GRNWOO-2-A,HEM JMP,GRNWOO,2,5-Jul-17,E2,S,PEMA,A,M,T,N,174,,,43,32,75,67,,
371,GRNWOO-2-A,HEM JMP,GRNWOO,2,5-Jul-17,B3,S,PEMA,A,M,T,N,155,,,50,34,65,14,had no tail; old injury,
372,GRNWOO-2-A,HEM JMP,GRNWOO,2,5-Jul-17,B1,S,SOTR,MD,MD,MD,MD,,,,MD,MD,,MD,dead,KING-058
373,GRNWOO-2-A,HEM JMP,GRNWOO,2,5-Jul-17,D1,S,PEBO,A,M,T,Y,436,,,50,30,91,91,,
374,GRNWOO-2-A,HEM JMP,GRNWOO,2,5-Jul-17,A5,L,NEFU,S,M,N,N,152,,,110,35,,,juvenile,
375,GRNWOO-2-A,HEM JMP,GRNWOO,2,5-Jul-17,C1,L,NEFU,A,F,P,Y,168,,,235,70,,,,
376,GRNWOO-3-A,HEM JMP,GRNWOO,3,6-Jul-17,A2,S,PEMA,A,M,T,Y,155,,,52,32,78,MD,no tail,
377,GRNWOO-3-A,HEM JMP,GRNWOO,3,6-Jul-17,A6,S,PEBO,A,M,T,Y,436,,,55,37,86,90,chewed off end of tail?,
378,GRNWOO-3-A,HEM JMP,GRNWOO,3,6-Jul-17,C6,S,PEBO,S,M,N,N,468,,,49,37,78,83,,
379,GRNWOO-3-A,HEM JMP,GRNWOO,3,6-Jul-17,J1,S,PEBO,A,M,T,N,473,,,47,40,85,84,,
380,GRNWOO-3-A,HEM JMP,GRNWOO,3,6-Jul-17,F7,L,SOTR,A,F,N,N,,,,35,34,,MD,given pedialyte,
381,GRNWOO-3-A,HEM JMP,GRNWOO,3,6-Jul-17,E2,S,PEBO,S,M,N,Y,167,,,49,35,59,62,,
382,GRNWOO-3-A,HEM JMP,GRNWOO,3,6-Jul-17,J9,L,PEMA,A,M,T,Y,154,,,53,37,75,61,,
383,GRNWOO-3-A,HEM JMP,GRNWOO,3,6-Jul-17,I8,S,SPRU,,,,,,,,,,,,,
384,GRNWOO-3-A,HEM JMP,GRNWOO,3,6-Jul-17,H10,S,SPRU,,,,,,,,,,,,,
385,GRNWOO-3-A,HEM JMP,GRNWOO,3,6-Jul-17,G3,S,ROBB,,,,,,,,,,,,,
386,GRNWOO-3-A,HEM JMP,GRNWOO,3,6-Jul-17,F3,L,ROBB,,,,,,,,,,,,,
387,GRNWOO-3-A,HEM JMP,GRNWOO,3,6-Jul-17,F7,L,SPRU,,,,,,,,,,,,,
388,GRNWOO-3-A,HEM JMP,GRNWOO,3,6-Jul-17,E1,L,NEFU,A,F,P,Y,168,,,245,35,,,,
389,HIBADR-1-A,MJH,HIBADR,1,29-Aug-17,E10,S,PEMA,A,F,P,N,262,,,50,30,80,63,,
390,HIBADR-1-A,MJH,HIBADR,1,29-Aug-17,H10,L,PEMA,A,F,P,N,464,,,48,30,72,61,,
391,HIBADR-1-A,MJH,HIBADR,1,29-Aug-17,C8,S,SPBE,S,F,N,N,768,,,340,34,,,,
392,HIBADR-1-A,MJH,HIBADR,1,29-Aug-17,J7,L,PEMA,A,M,T,N,326,,,51,MD,77,72,,
393,HIBADR-1-A,MJH,HIBADR,1,29-Aug-17,C7,L,SPBE,S,F,N,N,767,,,315,34,,,,
394,HIBADR-1-A,MJH,HIBADR,1,29-Aug-17,D6,L,SPRU,,,,,,,,,,,,squirrel tail inside,
395,HIBADR-1-A,MJH,HIBADR,1,29-Aug-17,G6,L,PEMA,A,M,T,N,,,,14,,79,72,mort,KING-012
396,HIBADR-1-A,MJH,HIBADR,1,29-Aug-17,E5,L,PEMA,A,M,T,N,754,,,49,MD,80,72,,
397,HIBADR-1-A,MJH,HIBADR,1,29-Aug-17,B2,L,PEMA,A,F,P,N,757,,,54,36,82,72,,
398,HIBADR-1-A,MJH,HIBADR,1,29-Aug-17,C2,S,PEMA,A,F,P,N,,,,17,,74,65,mort,KING-009
399,HIBADR-1-B,CHT,HIBADR,1,29-Aug-17,A1,L,PEMA,A,M,T,N,985,,,54,34,80,62,,
400,HIBADR-1-B,CHT,HIBADR,1,29-Aug-17,E1,L,PEMA,A,M,T,N,,,,54,35,80,5,mort; tail also cut off (possibly in trap),KING-007
401,HIBADR-1-B,CHT,HIBADR,1,29-Aug-17,I1,L,PEMA,A,F,P,N,894,,,56,33,85,70,,
402,HIBADR-1-B,CHT,HIBADR,1,29-Aug-17,J2,L,SPRU,,,,,,,,,,,,,
403,HIBADR-1-B,CHT,HIBADR,1,29-Aug-17,E3,L,SPBE,S,M,T,N,660,,,320,32,,,,
404,HIBADR-1-B,CHT,HIBADR,1,29-Aug-17,I3,L,PEMA,A,M,T,N,,,,50,34,88,65,mort,KING-004
