Label,NMDS1,NMDS2,NMDS3,group
GRNCAR,-0.1563653811930475,0.13069431205595716,-0.16087285176360222,unb
GRNDAM,-0.32283401026794023,0.1406721527209259,-0.2580373091238838,unb
GRNHOU,-0.40587094176293953,-0.34608439859231155,-0.22068561176493084,unb
GRNKAN,-0.6717664608580635,-0.05719794016224506,0.391376142621702,unb
GRNMAS,-0.39714969862466865,-0.44987488039866197,0.04548323609093539,unb
GRNQUA,-0.20513607432826564,0.09866447238300852,-0.17725369451895986,unb
GRNSNO,-0.21816646461940536,0.09394680723903229,-0.1808708619540174,unb
GRNTUR,0.07794975584331607,-0.3288155926029761,-0.2579531949854422,unb
GRNWOO,-0.8027240928432344,0.035784962533882636,-0.06517534458730834,unb
MIXBUS,0.38230903538388156,-0.3753773798788743,-0.33260258668883863,mod
MIXBUT,0.33954911748120725,-0.12555094955352622,-0.15233040098182196,mod
MIXDP2,-0.38675786566493864,0.1421808132965689,-0.29246649499727134,mod
MIXMID,0.2422061970498945,0.3176030189836082,0.10026028737094034,mod
MIXMIX,-0.07424549309272699,0.21379787007401543,0.25324494307733686,mod
MIXMOR,-0.09534199061957949,-0.40631422204374684,0.31711809030042737,mod
MIXRAV,0.3014497239187336,0.10367025585211329,-0.24945274772962325,mod
MIXRIV,0.5038780783217084,-0.5311256561623623,0.2059974810767066,mod
MIXWAT,0.31379199591175083,0.32948735002211527,0.23017951360655708,mod
HIBADR,0.3544464501566335,-0.07849815118449337,0.2194669412964525,high
HICAMP,0.11452360655491,-0.2738848692899876,0.3687480630810619,high
HICORN,0.17775696165226895,0.27730598745478685,-0.0699018055182915,high
HICOWS,-0.16596813244896472,0.1724395641522142,0.4041538495049008,high
HIDODD,0.14579054414323359,0.24770081701319668,0.2839240540383522,high
HISHRU,0.4154042549369956,-0.16314230630121765,-0.19264428077762424,high
HISQUE,0.1777569616524635,0.27730598745033186,-0.069901805503647,high
HITEDD,0.1777569616560176,0.2773059874711888,-0.06990180559838945,high
HIWALK,0.17775696166075977,0.2773059874674572,-0.06990180557172092,high
