site,date,day,trap,trap.type,indID,species,age,sex,breed,recap,weight,body.lgth,tail.lgth,comments,catnum
GRNHOU,2017-07-25,1,G1,L,124,PEMA,A,M,T,N,13,58,60,NA,NA
GRNHOU,2017-07-25,1,F2,L,CLIP-5,SOTR,A,NA,NA,N,5,NA,49,NA,NA
GRNHOU,2017-07-25,1,F9,S,402,PEMA,S,F,N,N,10,62,59,very small,NA
GRNHOU,2017-07-25,1,A2,L,193,PEMA,A,M,N,N,15,80,58,NA,NA
GRNHOU,2017-07-25,1,A4,L,177,NEQU,A,M,T,N,83,NA,NA,NA,NA
GRNHOU,2017-07-25,1,A5,S,NA,MISS,NA,NA,NA,NA,NA,NA,NA,not flagged…entire station missing,NA
GRNHOU,2017-07-25,1,A9,L,004,NEQU,A,F,P,N,99,NA,NA,NA,NA
GRNHOU,2017-07-25,1,B5,L,045,PEMA,A,M,N,N,14,70,59,NA,NA
GRNHOU,2017-07-25,1,B9,L,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNHOU,2017-07-25,1,C2,L,180,GLSA,A,M,T,N,116,NA,NA,NA,NA
GRNHOU,2017-07-25,1,C3,S,KING-073,SOTR,A,NA,NA,N,NA,NA,48,dead,KING-073
GRNHOU,2017-07-25,1,D10,L,010,PEMA,S,F,N,N,13,69,65,NA,NA
GRNHOU,2017-07-25,1,E3,L,025,PEMA,A,M,N,N,12,67,60,NA,NA
GRNHOU,2017-07-25,1,E5,L,042,PEMA,A,F,N,N,17,85,77,NA,NA
GRNHOU,2017-07-26,2,A1,S,045,PEMA,A,M,N,Y,13,66,56,NA,NA
GRNHOU,2017-07-26,2,A3,S,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNHOU,2017-07-26,2,A4,L,177,NEQU,A,M,T,Y,86,NA,NA,NA,NA
GRNHOU,2017-07-26,2,A9,L,004,NEQU,A,F,P,Y,90,NA,NA,NA,NA
GRNHOU,2017-07-26,2,B3,L,193,PEMA,A,M,T,Y,16,82,58,slightly scrotal,NA
GRNHOU,2017-07-26,2,C6,L,042,PEMA,A,F,N,Y,17,82,74,squeaky,NA
GRNHOU,2017-07-26,2,D2,S,025,PEMA,A,M,N,Y,13,63,59,NA,NA
GRNHOU,2017-07-26,2,I4,S,NA,SPRU,NA,NA,NA,N,NA,NA,NA,escaped,NA
GRNHOU,2017-07-26,2,H7,S,104,PEMA,S,M,N,N,14,63,69,NA,NA
GRNHOU,2017-07-26,2,G8,S,406,PEMA,A,M,T,N,16,62,67,NA,NA
GRNHOU,2017-07-26,2,G1,L,NA,SPRU,A,M,NA,Y,5,NA,49,stinky,NA
GRNHOU,2017-07-27,3,J6,L,CLIP-6,SOTR,A,NA,NA,N,5,NA,48,shrew,NA
