site,evc
GRNSNO,103.99999999999999
GRNSNO,104.99999999975167
GRNSNO,104.00000000012416
GRNSNO,104
GRNSNO,104.00000000014745
GRNSNO,103.99999999999999
GRNSNO,104.00000000017074
GRNSNO,104.9999999996818
GRNSNO,104.00000000011642
GRNSNO,104.00000000026388
GRNSNO,104.99999999979045
GRNSNO,104.00000000010866
GRNSNO,104.99999999987584
GRNSNO,104.99999999968956
GRNSNO,104.00000000148235
GRNSNO,104
GRNSNO,104
GRNSNO,103.99999999999999
GRNSNO,104.99999999982151
GRNSNO,104.00000000276292
GRNSNO,104.00000000213427
GRNSNO,105.0000000027474
GRNSNO,104.0000000052775
GRNSNO,104.00000000038804
GRNSNO,104
GRNSNO,104.00000000000776
GRNSNO,121.99999999594098
GRNSNO,104.00000000265426
GRNSNO,104.00000000013969
GRNSNO,104.0000000026465
GRNSNO,114.99999999999999
GRNSNO,114.99999999999999
GRNSNO,121.99999999690336
GRNSNO,106.00000000564226
GRNSNO,104.00000000502915
GRNSNO,105.00000000022507
GRNSNO,114.99999999975164
GRNSNO,121.99999999907644
GRNSNO,122
GRNSNO,114.99999999999999
GRNSNO,114.99999999999999
GRNSNO,114.99999999999999
GRNSNO,121.99999999777262
GRNSNO,115.00000000086922
GRNSNO,121.99999999782693
GRNSNO,122
GRNQUA,103.99999999993014
GRNQUA,103.00000000029492
GRNQUA,103.00000000021731
GRNQUA,104.00000000010864
GRNQUA,104.00000000026387
GRNQUA,103.00000000044238
GRNQUA,105.00000000000776
GRNQUA,104.00000000055103
GRNQUA,104.00000000029492
GRNQUA,104.00000000019402
GRNQUA,104.00000000038804
GRNQUA,105.00000000020955
GRNQUA,105.0000000001009
GRNQUA,105
GRNQUA,104.99999999970508
GRNQUA,104.99999999961194
GRNQUA,104.99999999970508
GRNQUA,105
GRNQUA,105.99999999980598
GRNQUA,105.9999999999224
GRNQUA,105.99999999975164
GRNQUA,104.99999999996895
GRNQUA,104.99999999977493
GRNQUA,105.99999999995343
GRNQUA,105.99999999964298
GRNQUA,105.00000000012417
GRNQUA,104.0000000000388
GRNQUA,103.00000000008536
GRNQUA,103.99999999968955
GRNQUA,104.99999999913852
GRNQUA,105.99999999948001
GRNQUA,104.99999999986031
GRNQUA,104.99999999975165
GRNQUA,104.99999999979822
GRNQUA,103.99999999987583
GRNQUA,104.00000000068296
GRNQUA,103.99999999989133
GRNQUA,104.99999999951106
GRNQUA,103.99999999992238
GRNQUA,104.99999999948777
GRNQUA,103.99999999990686
GRNQUA,103.0000000010943
GRNQUA,103.00000000024835
GRNQUA,103
GRNQUA,103.00000000034149
GRNQUA,104.00000000184713
GRNQUA,104.00000000271636
GRNQUA,104.00000000318202
GRNQUA,104
GRNQUA,104.00000000054327
GRNQUA,103.0000000002794
GRNQUA,105.99999999918509
GRNQUA,103.00000000023283
GRNQUA,103.00000000000001
GRNQUA,103.00000000000001
GRNQUA,103
GRNQUA,103
GRNQUA,105.9999999993636
GRNQUA,103.99999999997671
GRNQUA,103.00000000045789
GRNQUA,103.99999999988358
GRNQUA,103.00000000034925
GRNQUA,113.99999999542878
GRNQUA,113.99999999829258
GRNQUA,113.99999999891347
GRNQUA,104.00000000108653
GRNQUA,105.99999999906868
GRNQUA,103.99999999998448
GRNQUA,103.0000000001785
GRNQUA,103.00000000015523
GRNQUA,102.99999999999999
GRNQUA,103.00000000000001
GRNQUA,103.0000000002018
GRNQUA,103.00000000029492
GRNQUA,103.99999999996895
GRNQUA,104.00000000024835
GRNQUA,104
GRNQUA,103.0000000002018
GRNQUA,103.99999999958867
GRNQUA,104
GRNQUA,103.00000000014745
GRNQUA,103.99999999965851
GRNQUA,104.0000000006364
GRNQUA,103.00000000108653
GRNQUA,103.00000000008536
GRNQUA,104.99999999982926
GRNQUA,104.00000000006209
GRNQUA,103.00000000062865
GRNQUA,103.00000000035702
GRNQUA,104.00000000020955
GRNQUA,104.00000000027164
GRNQUA,104.99999999959643
GRNQUA,104.99999999977493
GRNQUA,104.00000000011642
GRNQUA,104
GRNQUA,103.00000000003105
GRNQUA,104.0000000002173
GRNQUA,103.99999999969731
GRNQUA,103.99999999984477
GRNQUA,103.00000000038028
GRNQUA,105.99999999913852
GRNQUA,105.99999999989134
GRNQUA,104.00000000026385
GRNQUA,104.9999999999224
GRNQUA,104.00000000029492
GRNQUA,104.99999999991464
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,104.00000000017073
GRNQUA,104.00000000010864
GRNQUA,104.00000000030268
GRNQUA,104
GRNQUA,103.00000000002329
GRNQUA,105.99999999930151
GRNQUA,103.00000000060535
GRNQUA,103.000000000357
GRNQUA,103.99999999994567
GRNQUA,104.99999999993015
GRNQUA,105.00000000000776
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,105.00000000008538
GRNQUA,105
GRNQUA,105.00000000000001
GRNQUA,104.00000000015521
GRNQUA,104.9999999998991
GRNQUA,104.00000000017073
GRNQUA,104.99999999993791
GRNQUA,105.00000000025611
GRNQUA,105
GRNQUA,105.99999999995343
GRNQUA,105.00000000009314
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,105.99999999944896
GRNQUA,104.9999999998836
GRNQUA,104.99999999989136
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,104.9999999997206
GRNQUA,105.99999999965851
GRNQUA,105.00000000000776
GRNQUA,105.99999999989912
GRNQUA,105.0000000001009
GRNQUA,104.99999999981375
GRNQUA,105.00000000000001
GRNQUA,105.00000000000001
GRNQUA,105.00000000023284
GRNQUA,105
GRNQUA,105
GRNQUA,105
GRNQUA,104.00000000029492
GRNQUA,103.99999999962748
GRNQUA,104.9999999998991
GRNQUA,105
GRNQUA,104.99999999974389
GRNQUA,104.00000000014747
GRNQUA,104
GRNQUA,104.99999999975165
GRNQUA,105.99999999968955
GRNQUA,104.99999999993793
GRNQUA,104.00000000010088
GRNQUA,104.9999999998991
GRNQUA,105
GRNQUA,105.99999999977493
GRNQUA,105.0000000001009
GRNQUA,105
GRNQUA,104.99999999983702
GRNQUA,105
GRNQUA,103.00000000069849
GRNQUA,104.99999999960419
GRNQUA,104.99999999974389
GRNQUA,104.00000000009312
GRNQUA,104
GRNQUA,104
GRNQUA,104
GRNQUA,103.99999999999999
GRNQUA,104
GRNQUA,104
GRNQUA,104.99999999998448
GRNQUA,104.99999999995343
GRNQUA,104.99999999981374
GRNQUA,105
GRNQUA,104.99999999990688
GRNQUA,104.0000000000388
GRNQUA,104.99999999969732
GRNQUA,104.9999999997206
GRNQUA,104.00000000011642
GRNQUA,103.99999999990688
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,104
GRNQUA,104
GRNQUA,104
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,104.99999999975941
GRNQUA,104
GRNQUA,104
GRNQUA,104.99999999989134
GRNQUA,104.00000000006983
GRNQUA,103.99999999999999
GRNQUA,104
GRNQUA,104
GRNQUA,103.99999999964298
GRNQUA,104
GRNQUA,103.99999999999999
GRNQUA,104
GRNQUA,104
GRNQUA,104
GRNQUA,104
GRNQUA,104
GRNQUA,104
GRNQUA,103.99999999999999
GRNQUA,104
GRNQUA,105.999999999643
GRNQUA,104.00000000105548
GRNQUA,103.99999999995343
GRNQUA,103.99999999981374
GRNQUA,103.00000000003104
GRNQUA,104
GRNQUA,103.99999999999999
GRNQUA,104
GRNQUA,104.0000000001164
