site,severity,date,day,trap,indID,species,binomial,binomial_short,common_name,family,age,recap,weight,comments
GRNDAM,unb,2017-08-31,3,A1,CLIP-3,SOTR,Sorex trowbridgii,S. trowbridgii,Trowbridge's shrew,Soricidae,A,N,4,NA
GRNDAM,unb,2017-08-31,3,A3,991,NEFU,Neotoma fuscipes,N. fuscipes,Dusky-footed woodrat,Cricetidae,S,N,155,NA
GRNDAM,unb,2017-08-31,3,A4,NA,SPRU,NA,NA,NA,NA,A,Y,NA,dead in trap
GRNDAM,unb,2017-08-31,3,A6,987,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,17,NA
GRNDAM,unb,2017-08-31,3,A10,995,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,18,NA
GRNDAM,unb,2017-08-31,3,B10,963,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,18,bald patch
GRNDAM,unb,2017-08-31,3,C1,990,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,17,NA
GRNDAM,unb,2017-08-31,3,G10,839,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,13,NA
GRNDAM,unb,2017-08-31,3,E3,965,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,S,Y,12,NA
GRNDAM,unb,2017-08-31,3,E8,893,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,15,NA
GRNDAM,unb,2017-08-31,3,F9,886,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,18,NA
GRNDAM,unb,2017-08-31,3,I1,838,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,15,NA
GRNDAM,unb,2017-08-31,3,G1,183,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,16,NA
GRNHOU,unb,2017-07-25,1,J6,CLIP-4,SOTR,Sorex trowbridgii,S. trowbridgii,Trowbridge's shrew,Soricidae,A,N,5.5,NA
GRNHOU,unb,2017-07-25,1,H6,103,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,16,aggressive
GRNHOU,unb,2017-07-25,1,G10,116,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,14,escaped after ear tag
GRNHOU,unb,2017-07-25,1,G6,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA
GRNHOU,unb,2017-07-25,1,G3,117,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,S,N,11,NA
GRNHOU,unb,2017-07-25,1,G1,124,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,13,NA
GRNHOU,unb,2017-07-25,1,F2,CLIP-5,SOTR,Sorex trowbridgii,S. trowbridgii,Trowbridge's shrew,Soricidae,A,N,5,NA
GRNHOU,unb,2017-07-25,1,F9,402,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,S,N,10,very small
GRNHOU,unb,2017-07-25,1,A2,193,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,15,NA
GRNHOU,unb,2017-07-25,1,A4,177,NEQU,Neotamias quadrimaculatus,N. quadrimaculatus,Long-eared chipmunk,Sciuridae,A,N,83,NA
GRNHOU,unb,2017-07-25,1,A5,NA,MISS,NA,NA,NA,NA,NA,NA,NA,not flagged…entire station missing
GRNHOU,unb,2017-07-25,1,A9,004,NEQU,Neotamias quadrimaculatus,N. quadrimaculatus,Long-eared chipmunk,Sciuridae,A,N,99,NA
GRNHOU,unb,2017-07-25,1,B5,045,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,14,NA
GRNHOU,unb,2017-07-25,1,B9,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA
GRNHOU,unb,2017-07-25,1,C2,180,GLSA,Glaucomys sabrinus,G. sabrinus,Northern flying squirrel,Sciuridae,A,N,116,NA
GRNHOU,unb,2017-07-25,1,C3,KING-073,SOTR,Sorex trowbridgii,S. trowbridgii,Trowbridge's shrew,Soricidae,A,N,NA,dead
GRNHOU,unb,2017-07-25,1,D10,010,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,S,N,13,NA
GRNHOU,unb,2017-07-25,1,E3,025,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,12,NA
GRNHOU,unb,2017-07-25,1,E5,042,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,17,NA
GRNHOU,unb,2017-07-26,2,A1,045,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,13,NA
GRNHOU,unb,2017-07-26,2,A3,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA
GRNHOU,unb,2017-07-26,2,A4,177,NEQU,Neotamias quadrimaculatus,N. quadrimaculatus,Long-eared chipmunk,Sciuridae,A,Y,86,NA
GRNHOU,unb,2017-07-26,2,A9,004,NEQU,Neotamias quadrimaculatus,N. quadrimaculatus,Long-eared chipmunk,Sciuridae,A,Y,90,NA
GRNHOU,unb,2017-07-26,2,B3,193,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,16,slightly scrotal
GRNHOU,unb,2017-07-26,2,C6,042,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,17,squeaky
GRNHOU,unb,2017-07-26,2,D2,025,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,13,NA
GRNHOU,unb,2017-07-26,2,I4,NA,SPRU,NA,NA,NA,NA,NA,N,NA,escaped
GRNHOU,unb,2017-07-26,2,H7,104,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,S,N,14,NA
GRNHOU,unb,2017-07-26,2,G8,406,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,16,NA
GRNHOU,unb,2017-07-26,2,G1,NA,SPRU,NA,NA,NA,NA,A,Y,5,stinky
GRNHOU,unb,2017-07-27,3,J6,CLIP-6,SOTR,Sorex trowbridgii,S. trowbridgii,Trowbridge's shrew,Soricidae,A,N,5,shrew
GRNHOU,unb,2017-07-27,3,J9,114,PEBO,Peromyscus boylii,P. boylii,Brush mouse,Cricetidae,A,N,17,gray with yellow flanks; escaped
GRNHOU,unb,2017-07-27,3,I2,117,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,12,escaped
GRNHOU,unb,2017-07-27,3,H4,DAY3-1,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,NA,N,NA,escaped
GRNHOU,unb,2017-07-27,3,H8,421,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,13,NA
GRNHOU,unb,2017-07-27,3,G1,193,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,16,yellow flanks
GRNHOU,unb,2017-07-27,3,A1,025,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,13,very small
GRNHOU,unb,2017-07-27,3,A2,185,PEBO,Peromyscus boylii,P. boylii,Brush mouse,Cricetidae,A,N,27,hind foot = 20mm; ear = 18mm; hairy tail
GRNHOU,unb,2017-07-27,3,A3,177,NEQU,Neotamias quadrimaculatus,N. quadrimaculatus,Long-eared chipmunk,Sciuridae,A,Y,84,NA
GRNHOU,unb,2017-07-27,3,A8,DAY3-2,SOTR,Sorex trowbridgii,S. trowbridgii,Trowbridge's shrew,Soricidae,A,N,6,NA
GRNHOU,unb,2017-07-27,3,A9,004,NEQU,Neotamias quadrimaculatus,N. quadrimaculatus,Long-eared chipmunk,Sciuridae,A,Y,90,NA
GRNHOU,unb,2017-07-27,3,D4,180,GLSA,Glaucomys sabrinus,G. sabrinus,Northern flying squirrel,Sciuridae,A,Y,98,NA
